Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08NJ013,CopyPaste,HG,2023-11-02T22:10:00,2024-01-10T17:35:00,2024-01-11T17:23:42,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NJ013, time shift: 00:00 minutes.‌",,PreProcessing
08NJ013,CopyPaste,HG,2023-07-05T00:00:00,2023-11-02T17:45:00,2023-11-03T19:46:47,-8,"OC. Missing telemetry.Override: Copy & Paste‌Source Data Set: Stage.Logger@08NJ013, time shift: 00:00 minutes.‌",,PreProcessing
08NJ013,CopyPaste,HG,2023-05-25T21:20:00,2023-07-04T23:10:00,2023-07-05T18:00:02,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NJ013, time shift: 00:00 minutes.‌",,PreProcessing
08NJ013,CopyPaste,QR,2022-12-25T23:00:00,2023-01-02T16:45:00,2023-03-15T16:58:34,-8,ice periodOverride: Linear‌Q(t) = (0.6433693092175599)t + 12.383005611233667‌,,Normal
08NJ013,CopyPaste,QR,2022-12-19T14:45:00,2023-01-03T02:20:00,2023-03-15T16:53:38,-8,ice periodOverride: Linear‌Q(t) = (0.18127368261025645)t + 14.331616953624843‌,,Normal
08NJ013,Drift,QR,2022-12-19T14:45:00,2023-01-03T02:20:00,2023-03-28T17:36:03,-8,,"DriftPoints:(Offset:0.20627851690670518,Time:2022-12-19T14:45:00Z);(Offset:0,Time:2022-12-20T09:10:00Z);(Offset:0.39630162811972625,Time:2022-12-21T10:00:00Z);(Offset:0.2274007774210709,Time:2023-01-03T02:20:00Z)",Normal
08NJ013,CopyPaste,HG,2022-10-19T21:30:00,2023-01-27T00:35:00,2023-01-30T17:02:26,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NJ013, time shift: 00:00 minutes.‌",,PreProcessing
08NJ013,CopyPaste,HG,2022-08-04T19:25:00,2022-09-15T13:40:00,2023-03-14T19:44:45,-8,"telem gapsOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NJ013, time shift: 00:00 minutes.‌",,PreProcessing
08NJ013,Drift,HG,2022-08-04T17:30:00,2022-09-15T20:05:00,2022-09-16T21:02:15,-8,SRC VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-08-04T17:30:00Z);(Offset:-0.004,Time:2022-09-15T20:05:00Z)",Normal
08NJ013,Deviation,HG,2022-06-30T07:05:00,2022-07-22T22:45:00,2023-03-14T19:43:40,-8,spike trim,"DeviationValue:0.015,DeviationType:DeviationFromAverage,WindowSizeInMinutes:60",Normal
