STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08NL024,H,2011,H,8.0,6,9,2,15,PST,2.114000082015991, ,Maximum
08NL024,H,2012,H,8.0,12,21,19,0,PST,2.9800000190734863, ,Maximum
08NL024,H,2013,L,8.0,8,25,5,55,PST,0.4079999923706055, ,Minimum
08NL024,H,2014,L,8.0,9,16,18,30,PST,0.3790000081062317, ,Minimum
08NL024,H,2015,H,8.0,11,17,21,20,PST,1.5959999561309814, ,Maximum
08NL024,H,2015,L,8.0,8,14,1,55,PST,0.3160000145435333, ,Minimum
08NL024,H,2016,H,8.0,4,21,23,50,PST,2.1489999294281006, ,Maximum
08NL024,H,2016,L,8.0,9,17,7,10,PST,0.34599998593330383, ,Minimum
08NL024,H,2017,H,8.0,5,24,0,25,PST,2.265000104904175, ,Maximum
08NL024,H,2018,L,8.0,9,8,7,35,PST,0.3709999918937683, ,Minimum
08NL024,H,2019,H,8.0,5,17,10,15,PST,1.8289999961853027, ,Maximum
08NL024,H,2019,L,8.0,9,5,7,20,PST,0.34200000762939453, ,Minimum
08NL024,H,2020,H,8.0,5,31,1,25,PST,2.4200000762939453, ,Maximum
08NL024,H,2020,L,8.0,9,12,4,10,PST,0.3499999940395355, ,Minimum
08NL024,H,2021,H,8.0,11,15,3,10,PST,3.881999969482422, ,Maximum
08NL024,H,2021,L,8.0,9,11,5,0,PST,0.3650000095367432, ,Minimum
08NL024,H,2022,H,8.0,6,5,23,55,PST,1.7699999809265137, ,Maximum
08NL024,H,2022,L,8.0,10,13,8,30,PST,0.12600000202655792, ,Minimum
08NL024,H,2023,H,8.0,5,4,23,40,PST,2.0810000896453857, ,Maximum
08NL024,H,2023,L,8.0,8,24,7,35,PST,0.09000000357627869, ,Minimum
08NL024,H,2024,H,8.0,5,13,0,5,PST,1.587000012397766, ,Maximum
08NL024,H,2024,L,8.0,9,21,6,15,PST,0.1340000033378601, ,Minimum
08NL024,Q,1974,H,,6,16,0,57,PST,317.0,,Maximum
08NL024,Q,1975,H,,6,2,9,17,PST,246.0,,Maximum
08NL024,Q,1976,H,,6,18,23,40,PST,191.0,,Maximum
08NL024,Q,1977,H,,6,7,22,58,PST,110.0,,Maximum
08NL024,Q,1978,H,,6,6,0,22,PST,241.0,,Maximum
08NL024,Q,1979,H,,5,26,0,52,PST,131.0,,Maximum
08NL024,Q,1980,H,,12,26,21,35,PST,343.0,,Maximum
08NL024,Q,1981,H,,5,25,19,45,PST,145.0,,Maximum
08NL024,Q,1982,H,,6,13,21,30,PST,190.0,,Maximum
08NL024,Q,1983,H,,5,29,23,20,PST,187.0,,Maximum
08NL024,Q,1985,H,,5,18,23,20,PST,212.0,,Maximum
08NL024,Q,1986,H,,5,29,23,50,PST,258.0,,Maximum
08NL024,Q,1987,H,,5,1,4,21,PST,222.0,,Maximum
08NL024,Q,1988,H,,5,13,8,19,PST,225.0,,Maximum
08NL024,Q,1989,H,,11,10,11,30,PST,287.0,,Maximum
08NL024,Q,1990,H,,11,10,17,16,PST,406.0,,Maximum
08NL024,Q,1991,H,,5,19,23,11,PST,301.0,,Maximum
08NL024,Q,1992,H,,4,29,23,28,PST,139.0,,Maximum
08NL024,Q,1993,H,,5,13,23,48,PST,233.0,,Maximum
08NL024,Q,1994,H,,5,9,1,31,PST,138.0,,Maximum
08NL024,Q,1995,H,,11,29,17,45,PST,708.0,E,Maximum
08NL024,Q,1996,H,,6,3,3,0,PST,180.0,,Maximum
08NL024,Q,1997,H,,5,15,22,35,PST,330.0,,Maximum
08NL024,Q,1998,H,,5,4,2,30,PST,194.0,,Maximum
08NL024,Q,1999,H,,5,24,18,50,PST,290.0, ,Maximum
08NL024,Q,1999,L,,9,23,22,0,PST,2.0899999141693115, ,Minimum
08NL024,Q,2000,H,,5,22,2,35,PST,137.0, ,Maximum
08NL024,Q,2001,H,,5,23,23,10,PST,164.0, ,Maximum
08NL024,Q,2002,H,,5,28,22,20,PST,257.0, ,Maximum
08NL024,Q,2003,H,,10,20,23,40,PST,393.0, ,Maximum
08NL024,Q,2004,H,,5,1,23,5,PST,140.0, ,Maximum
08NL024,Q,2005,H,,1,19,11,50,PST,139.0, ,Maximum
08NL024,Q,2005,L,,8,30,6,0,PST,1.0700000524520874, ,Minimum
08NL024,Q,2006,H,,11,6,21,0,PST,502.0, ,Maximum
08NL024,Q,2006,L,,9,10,9,0,PST,0.7839999794960022, ,Minimum
08NL024,Q,2007,H,,6,4,1,5,PST,174.0, ,Maximum
08NL024,Q,2007,L,,9,16,8,0,PST,1.340000033378601, ,Minimum
08NL024,Q,2008,H,,5,18,21,15,PST,273.0, ,Maximum
08NL024,Q,2009,H,,5,30,0,20,PST,156.0, ,Maximum
08NL024,Q,2010,H,,5,18,0,30,PST,157.0, ,Maximum
08NL024,Q,2010,L,,8,27,1,0,PST,1.909999966621399, ,Minimum
08NL024,Q,2011,H,,6,9,2,15,PST,196.0, ,Maximum
08NL024,Q,2012,H,,5,16,0,0,PST,179.0, ,Maximum
08NL024,Q,2013,L,,8,25,5,55,PST,1.8899999856948853, ,Minimum
08NL024,Q,2014,L,,9,16,18,30,PST,1.899999976158142, ,Minimum
08NL024,Q,2015,H,,11,17,21,20,PST,99.1999969482422, ,Maximum
08NL024,Q,2015,L,,8,14,1,55,PST,1.1100000143051147, ,Minimum
08NL024,Q,2016,H,,4,21,23,50,PST,206.0, ,Maximum
08NL024,Q,2016,L,,9,17,7,10,PST,1.25, ,Minimum
08NL024,Q,2017,H,,5,24,0,25,PST,235.0, ,Maximum
08NL024,Q,2017,L,,9,4,7,20,PST,0.9980000257492064, ,Minimum
08NL024,Q,2018,L,,9,8,7,35,PST,1.3600000143051147, ,Minimum
08NL024,Q,2019,H,,5,17,10,15,PST,127.0, ,Maximum
08NL024,Q,2019,L,,9,5,7,20,PST,1.0299999713897705, ,Minimum
08NL024,Q,2020,H,,5,31,3,35,PST,268.0, ,Maximum
08NL024,Q,2020,L,,9,12,4,10,PST,1.2599999904632568, ,Minimum
08NL024,Q,2021,H,,11,15,3,10,PST,807.0,E,Maximum
08NL024,Q,2021,L,,9,11,5,0,PST,1.4700000286102295, ,Minimum
08NL024,Q,2022,H,,6,5,23,55,PST,148.0, ,Maximum
08NL024,Q,2022,L,,10,13,8,30,PST,1.2799999713897705, ,Minimum
08NL024,Q,2023,H,,5,4,23,40,PST,216.0, ,Maximum
08NL024,Q,2023,L,,8,24,7,35,PST,0.7860000133514404, ,Minimum
08NL024,Q,2024,H,,5,13,0,5,PST,122.0, ,Maximum
08NL024,Q,2024,L,,8,10,4,50,PST,1.2999999523162842, ,Minimum
