Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08NL038,CopyPaste,HG,2023-10-18T17:15:00,2024-01-09T17:10:00,2024-01-10T15:35:28,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NL038, time shift: 00:00 minutes.‌",,PreProcessing
08NL038,Drift,HG,2023-10-18T17:15:00,2024-01-09T16:40:00,2024-01-10T15:33:23,-8,SRC- VISIT TO VISIT - ACCOUNTING FOR ASSUMED PRESSURE CHANGE AFTER LEAVING,"DriftPoints:(Offset:0.005,Time:2023-10-18T17:15:00Z);(Offset:0,Time:2024-01-09T16:40:00Z)",Normal
08NL038,CopyPaste,HG,2023-08-31T18:00:00,2023-10-18T16:55:00,2023-10-31T17:27:29,-8,"TELEMETRY GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NL038, time shift: 00:00 minutes.‌",,PreProcessing
08NL038,Drift,HG,2023-08-31T16:05:00,2023-08-31T17:55:00,2023-09-01T15:33:02,-8,SRC - INTRAVISIT,"DriftPoints:(Offset:-0.008,Time:2023-08-31T16:05:00Z);(Offset:-0.011,Time:2023-08-31T17:55:00Z)",Normal
08NL038,Drift,HG,2023-07-12T22:55:00,2023-08-31T16:00:00,2023-09-01T15:32:04,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-07-12T22:55:00Z);(Offset:-0.008,Time:2023-08-31T16:00:00Z)",Normal
08NL038,CopyPaste,HG,2023-07-12T22:55:00,2023-08-31T17:55:00,2023-09-01T15:31:04,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NL038, time shift: 00:00 minutes.‌",,PreProcessing
08NL038,AdjustableTrim,HG,2023-05-20T23:10:00,2023-05-26T11:40:00,2023-06-13T19:13:44,-8,SPIKES,"LowerThresholdPoints:(Time:2023-05-20T23:10:00Z,Value:2.7314837209949476);(Time:2023-05-21T05:29:24.254Z,Value:2.758085474146031);(Time:2023-05-21T09:33:38.304Z,Value:2.8749678629612716);(Time:2023-05-21T11:08:04.536Z,Value:2.8962967660297463);(Time:2023-05-22T02:45:56.085Z,Value:2.7205466047455156);(Time:2023-05-22T08:58:16.247Z,Value:2.606620757321966);(Time:2023-05-22T16:47:29.297Z,Value:2.605834929742095);(Time:2023-05-23T02:24:08.133Z,Value:2.5354520891586043);(Time:2023-05-23T10:16:57.304Z,Value:2.535039711421028);(Time:2023-05-23T16:02:05.214Z,Value:2.4890394770404587);(Time:2023-05-24T18:22:58.149Z,Value:2.134916227890701);(Time:2023-05-25T09:48:19.284Z,Value:2.130291673680591);(Time:2023-05-26T04:01:09.66Z,Value:2.0752985664422243);(Time:2023-05-26T11:40:00Z,Value:2.059963664547948),TrimAction:Delete",PostProcessing
08NL038,Drift,HG,2023-05-17T23:35:00,2023-07-12T08:00:00,2023-07-13T15:01:26,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0.033,Time:2023-05-17T23:35:00Z);(Offset:0,Time:2023-07-12T08:00:00Z)",Normal
08NL038,Drift,HG,2023-05-17T21:45:00,2023-05-17T23:30:00,2023-05-18T16:09:02,-8,SRC - DURING VISIT,"DriftPoints:(Offset:0.013,Time:2023-05-17T21:45:00Z);(Offset:0.033,Time:2023-05-17T23:30:00Z)",Normal
08NL038,CopyPaste,HG,2023-05-17T21:25:00,2023-07-12T22:20:00,2023-07-17T22:52:57,-8,"TELEMETRY GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NL038, time shift: 00:00 minutes.‌",,PreProcessing
08NL038,AdjustableTrim,HG,2023-05-16T07:25:00,2023-05-17T18:55:00,2023-06-13T19:03:26,-8,SPIKES,"LowerThresholdPoints:(Time:2023-05-16T07:25:00Z,Value:3.115415260589521);(Time:2023-05-16T11:18:53.019Z,Value:3.2181008054437727);(Time:2023-05-16T16:49:02.196Z,Value:3.2485451743531337);(Time:2023-05-17T01:33:11.415Z,Value:3.1065412011576723);(Time:2023-05-17T04:08:15.124Z,Value:3.11072577791203);(Time:2023-05-17T07:22:51.102Z,Value:3.2168248370770067);(Time:2023-05-17T11:52:46.812Z,Value:3.415897298603045);(Time:2023-05-17T14:02:05.688Z,Value:3.4268353459396406);(Time:2023-05-17T17:17:56.994Z,Value:3.359019452452748);(Time:2023-05-17T18:55:00Z,Value:3.3005027858823692),UpperThresholdPoints:(Time:2023-05-16T07:25:00Z,Value:3.5099645056977664);(Time:2023-05-17T05:56:13.408Z,Value:3.488088411024575);(Time:2023-05-17T13:49:32.399Z,Value:3.486994606290916);(Time:2023-05-17T18:55:00Z,Value:3.4115220796684067),TrimAction:Delete",Normal
08NL038,AdjustableTrim,HG,2023-05-14T04:15:00,2023-05-16T03:05:00,2023-06-13T18:59:58,-8,SPIKES,"LowerThresholdPoints:(Time:2023-05-14T04:15:00Z,Value:2.6653854348128947);(Time:2023-05-14T06:01:18.399Z,Value:2.756695701797624);(Time:2023-05-14T13:06:28.453Z,Value:3.0077989360056296);(Time:2023-05-14T15:09:42.672Z,Value:3.009320773788709);(Time:2023-05-14T19:28:30.531Z,Value:2.9773621803440538);(Time:2023-05-14T22:10:03.9Z,Value:2.934593827546399);(Time:2023-05-15T00:55:05.211Z,Value:2.8830082377931663);(Time:2023-05-15T03:50:41.973Z,Value:2.876920886660851);(Time:2023-05-15T06:15:30.18Z,Value:2.9651874780794225);(Time:2023-05-15T10:06:29.374Z,Value:3.1302890055743173);(Time:2023-05-15T14:25:22.199Z,Value:3.167591903228906);(Time:2023-05-15T18:18:19.243Z,Value:3.1102177052637616);(Time:2023-05-15T21:11:44.457Z,Value:3.0560251944252617);(Time:2023-05-16T03:05:00Z,Value:2.9566722578880107),TrimAction:Delete",Normal
08NL038,AdjustableTrim,HG,2023-05-10T10:30:00,2023-05-12T14:05:00,2023-06-13T18:58:37,-8,SPIKES,"LowerThresholdPoints:(Time:2023-05-10T10:30:00Z,Value:2.6515546145704363);(Time:2023-05-10T12:02:54.445Z,Value:2.6791925822344997);(Time:2023-05-10T18:05:20.179Z,Value:2.6526176133267465);(Time:2023-05-11T00:18:40.904Z,Value:2.5835226941665868);(Time:2023-05-11T05:37:26.669Z,Value:2.5537587289899024);(Time:2023-05-11T09:33:14.496Z,Value:2.5909636854607574);(Time:2023-05-11T12:58:28.345Z,Value:2.6196646518811315);(Time:2023-05-11T15:31:18.232Z,Value:2.629231640687923);(Time:2023-05-11T21:53:22.951Z,Value:2.5813966966539663);(Time:2023-05-12T05:40:36.607Z,Value:2.5133647762501163);(Time:2023-05-12T12:28:53.307Z,Value:2.6526176133267465);(Time:2023-05-12T14:05:00Z,Value:2.656869608351987),TrimAction:Delete",Normal
08NL038,AdjustableTrim,HG,2023-05-04T15:40:00,2023-05-09T11:10:00,2023-06-13T18:56:08,-8,SPIKES,"LowerThresholdPoints:(Time:2023-05-04T15:40:00Z,Value:3.264937772840708);(Time:2023-05-05T02:20:28.905Z,Value:3.147725873466075);(Time:2023-05-05T05:56:13.776Z,Value:3.2378888729850237);(Time:2023-05-05T17:43:52.951Z,Value:3.447517846866578);(Time:2023-05-05T19:31:45.387Z,Value:3.4565341468184734);(Time:2023-05-05T23:46:20.334Z,Value:3.388911897179262);(Time:2023-05-06T04:35:26.46Z,Value:3.3911659721672356);(Time:2023-05-06T10:50:50.535Z,Value:3.3979281971311566);(Time:2023-05-06T18:02:20.276Z,Value:3.2942407476843663);(Time:2023-05-07T02:57:23.556Z,Value:3.1928073732255493);(Time:2023-05-07T15:28:11.705Z,Value:3.07784954883889);(Time:2023-05-08T06:17:04.572Z,Value:2.8366635251257026);(Time:2023-05-08T10:30:12.713Z,Value:2.8774109718434246);(Time:2023-05-08T17:15:04.914Z,Value:2.835990928134407);(Time:2023-05-09T04:47:10.589Z,Value:2.7008826903216576);(Time:2023-05-09T11:10:00Z,Value:2.741992375630807),TrimAction:Delete",Normal
08NL038,AdjustableTrim,HG,2023-05-02T04:45:00,2023-05-03T18:45:00,2023-06-13T18:54:26,-8,SPIKES,"LowerThresholdPoints:(Time:2023-05-02T04:45:00Z,Value:2.512530604879136);(Time:2023-05-02T14:15:44.012Z,Value:2.6113020216263827);(Time:2023-05-03T02:52:18.202Z,Value:2.6102389959562204);(Time:2023-05-03T05:40:14.571Z,Value:2.803065086443394);(Time:2023-05-03T09:39:42.426Z,Value:2.875386486569169);(Time:2023-05-03T10:52:57.413Z,Value:3.029255752855449);(Time:2023-05-03T18:45:00Z,Value:3.033848865281905),TrimAction:Delete",Normal
08NL038,CopyPaste,HG,2023-04-06T19:55:00,2023-05-17T21:20:00,2023-05-18T16:01:53,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NL038, time shift: 00:00 minutes.‌",,PreProcessing
08NL038,Drift,HG,2023-04-06T19:55:00,2023-05-17T21:40:00,2023-05-18T16:06:35,-8,SRC - visit to visit as found,"DriftPoints:(Offset:0,Time:2023-04-06T19:55:00Z);(Offset:0.013,Time:2023-05-17T21:40:00Z)",Normal
08NL038,Offset,HG,2023-04-06T18:30:00,2023-04-06T19:50:00,2023-04-11T15:45:17,-8,SRC - during visit just prior to reset,Offset:-0.008,Normal
08NL038,CopyPaste,QR,2023-02-22T16:55:00,2023-03-08T00:35:00,2023-06-13T21:05:02,-8,ICEOverride: Freehand‌,,Normal
08NL038,CopyPaste,QR,2023-02-15T14:50:00,2023-02-17T16:25:00,2023-06-13T20:25:05,-8,ICEOverride: Linear‌Q(t) = (0.32864117610589105)t + 5.836515863435491‌,,Normal
08NL038,DeleteRegion,HG,2023-02-02T07:55:00,2023-02-02T07:55:00,2023-02-02T20:45:54,-8,SPIKE,,Normal
08NL038,CopyPaste,QR,2023-01-30T21:30:00,2023-01-30T22:40:00,2023-06-13T20:17:49,-8,ICEOverride: Linear‌Q(t) = (11.297132630934582)t + 5.9739922301308495‌,,Normal
08NL038,Offset,QR,2023-01-30T19:15:00,2023-01-30T21:35:00,2023-06-13T20:15:35,-8,ICE,Offset:-0.35,Normal
08NL038,RevertToRaw,QR,2023-01-30T19:15:00,2023-01-30T21:35:00,2023-06-13T20:13:22,-8,ICE,,Normal
08NL038,CopyPaste,QR,2023-01-30T18:25:00,2023-01-30T19:25:00,2023-06-13T20:16:25,-8,ICEOverride: Linear‌Q(t) = (-13.380528952252412)t + 6.557400554044486‌,,Normal
08NL038,CopyPaste,QR,2023-01-30T00:45:00,2023-01-30T00:55:00,2023-06-13T20:11:37,-8,ICEOverride: Linear‌Q(t) = (12.909380805996093)t + 6.420387017513039‌,,Normal
08NL038,RevertToRaw,QR,2023-01-29T18:45:00,2023-01-30T00:50:00,2023-06-13T20:04:58,-8,ICE,,Normal
08NL038,Offset,QR,2023-01-29T18:45:00,2023-01-30T00:50:00,2023-06-13T20:06:13,-8,ICE,Offset:-0.35,Normal
08NL038,CopyPaste,QR,2023-01-29T18:40:00,2023-01-29T18:50:00,2023-06-13T20:12:15,-8,ICEOverride: Linear‌Q(t) = (-8.746063634067326)t + 6.75077253765023‌,,Normal
08NL038,CopyPaste,QR,2023-01-29T05:15:00,2023-02-10T21:45:00,2023-06-13T19:57:30,-8,ICEOverride: Linear‌Q(t) = (-0.050974034300321006)t + 7.178089613662037‌with freehand adjustment‌,,Normal
