Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08NM146,DeleteRegion,HG,2024-02-01T17:45:00,2024-02-01T17:50:00,2024-02-02T14:24:20,-8,DR - In visit spike.,,Normal
08NM146,CopyPaste,QR,2023-12-24T07:20:00,2023-12-26T14:55:00,2024-02-13T21:38:19,-8,ICEOverride: Linear‌Q(t) = (0)t + 0.0028‌,,Normal
08NM146,CopyPaste,HG,2023-12-01T19:00:00,2024-02-01T17:30:00,2024-02-13T21:08:22,-8,"TELEMETRY GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NM146, time shift: 00:00 minutes.‌",,PreProcessing
08NM146,CopyPaste,QR,2023-11-02T08:30:00,2023-11-02T10:45:00,2024-02-13T22:26:33,-8,ICEOverride: Linear‌Q(t) = (0)t + 0.0021920305812827994‌,,Normal
08NM146,DeleteRegion,HG,2023-09-19T17:00:00,2023-09-20T03:50:00,2023-09-20T16:13:31,-8,MAINTENANCE - GAUGING POOL EXCAVATED,,Normal
08NM146,CopyPaste,HG,2023-09-19T16:55:00,2023-12-01T18:55:00,2023-12-04T21:37:43,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM146, time shift: 00:00 minutes.‌",,PreProcessing
08NM146,DeleteRegion,HG,2023-08-10T20:50:00,2023-08-10T20:50:00,2023-08-14T16:33:33,-8,SPIKE,,Normal
08NM146,AdjustableTrim,HG,2023-08-01T20:15:00,2023-12-31T08:00:00,2023-08-02T16:39:43,-8,Telemetry spikes,"UpperThresholdPoints:(Time:2023-08-01T20:15:00Z,Value:2.0838321404053888);(Time:2023-12-31T08:00:00Z,Value:2.0838321404053888),TrimAction:Delete",Normal
08NM146,AdjustableTrim,HG,2023-07-27T11:35:00,2023-07-27T14:10:00,2023-07-31T16:05:45,-8,SPIKE,"LowerThresholdPoints:(Time:2023-07-27T11:35:00Z,Value:0.8079807419366459);(Time:2023-07-27T14:10:00Z,Value:0.8079807419366459),TrimAction:Delete",Normal
08NM146,DeleteRegion,HG,2023-07-25T19:40:00,2023-07-25T19:40:00,2023-07-26T20:57:19,-8,RFT - spike,,Normal
08NM146,CopyPaste,HG,2023-07-25T18:50:00,2023-09-19T16:50:00,2023-09-20T20:04:44,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM146, time shift: 00:00 minutes.‌",,Normal
08NM146,AdjustableTrim,HG,2023-07-20T08:15:00,2023-07-24T16:25:00,2023-07-24T18:48:43,-8,SPIKES,"LowerThresholdPoints:(Time:2023-07-20T08:15:00Z,Value:0.8235372352173894);(Time:2023-07-24T16:25:00Z,Value:0.8226191100282454),UpperThresholdPoints:(Time:2023-07-20T08:15:00Z,Value:0.8966020783671296);(Time:2023-07-24T16:25:00Z,Value:0.8966020783671296),TrimAction:Delete",Normal
08NM146,DeleteRegion,HG,2023-07-10T11:45:00,2023-07-10T11:45:00,2023-07-10T17:27:57,-8,ERRANT,,Normal
08NM146,AdjustableTrim,HG,2023-07-02T16:00:00,2023-07-17T16:10:00,2023-07-17T16:40:45,-8,SPIKE,"UpperThresholdPoints:(Time:2023-07-02T16:00:00Z,Value:593.1141542173962);(Time:2023-07-17T16:10:00Z,Value:593.1141542173962),TrimAction:Delete",Normal
08NM146,DeleteRegion,HG,2023-06-29T14:30:00,2023-06-29T14:30:00,2023-06-29T17:07:42,-8,,,Normal
08NM146,AdjustableTrim,HG,2023-06-25T18:00:00,2023-07-15T05:00:00,2023-07-17T16:41:12,-8,SPIKES,"LowerThresholdPoints:(Time:2023-06-25T18:00:00Z,Value:0.8135535784090849);(Time:2023-07-15T05:00:00Z,Value:0.8135535784090849),TrimAction:Delete",Normal
