STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08NM240,H,2011,H,8.0,6,7,21,36,PST,0.5220000147819519, ,Maximum
08NM240,H,2011,L,8.0,7,31,12,1,PST,0.05900000035762787, ,Minimum
08NM240,H,2012,H,8.0,4,27,17,6,PST,0.8019999861717224, ,Maximum
08NM240,H,2012,L,8.0,8,19,11,31,PST,0.02500000037252903, ,Minimum
08NM240,H,2013,H,8.0,5,10,18,16,PST,0.550000011920929, ,Maximum
08NM240,H,2014,H,8.0,5,16,22,1,PST,0.47699999809265137, ,Maximum
08NM240,H,2014,L,8.0,4,14,12,11,PST,0.019999999552965164, ,Minimum
08NM240,H,2015,H,8.0,5,17,20,1,PST,0.37700000405311584, ,Maximum
08NM240,H,2015,L,8.0,3,11,11,36,PST,0.03700000047683716, ,Minimum
08NM240,H,2016,H,8.0,4,21,20,10,PST,0.503000020980835, ,Maximum
08NM240,H,2016,L,8.0,8,15,17,20,PST,0.03500000014901161, ,Minimum
08NM240,Q,1984,H,,6,14,20,4,PST,1.399999976158142,,Maximum
08NM240,Q,1986,H,,5,28,18,22,PST,1.659999966621399,,Maximum
08NM240,Q,1987,H,,5,1,0,29,PST,1.9900000095367432,,Maximum
08NM240,Q,1988,H,,5,13,9,20,PST,1.1699999570846558,,Maximum
08NM240,Q,1989,H,,5,10,8,0,PST,0.8460000157356262,,Maximum
08NM240,Q,1990,H,,5,29,8,30,PST,1.0099999904632568,,Maximum
08NM240,Q,1991,H,,5,20,20,7,PST,1.059999942779541,,Maximum
08NM240,Q,1992,H,,5,5,17,47,PST,0.35100001096725464,,Maximum
08NM240,Q,1993,H,,5,13,18,0,PST,1.8600000143051147,E,Maximum
08NM240,Q,1994,H,,5,9,17,31,PST,0.7319999933242798,,Maximum
08NM240,Q,1995,H,,5,16,18,40,PST,0.8799999952316284,,Maximum
08NM240,Q,1996,H,,6,3,20,30,PST,1.100000023841858,,Maximum
08NM240,Q,1997,H,,6,1,15,25,PST,1.2599999904632568,,Maximum
08NM240,Q,1998,H,,5,3,18,0,PST,1.0199999809265137,,Maximum
08NM240,Q,1999,H,,5,25,17,0,PST,1.1799999475479126, ,Maximum
08NM240,Q,1999,L,,1,1,0,0,PST,0.004999999888241291,B,Minimum
08NM240,Q,2000,H,,5,21,19,0,PST,0.8769999742507935, ,Maximum
08NM240,Q,2001,H,,5,23,19,0,PST,1.190000057220459, ,Maximum
08NM240,Q,2002,H,,5,28,18,0,PST,1.2699999809265137, ,Maximum
08NM240,Q,2003,H,,5,25,14,40,PST,0.9990000128746032, ,Maximum
08NM240,Q,2004,H,,5,2,18,9,PST,0.6740000247955322, ,Maximum
08NM240,Q,2005,H,,5,15,21,0,PST,0.7459999918937683, ,Maximum
08NM240,Q,2006,H,,5,20,14,54,PST,1.7100000381469729, ,Maximum
08NM240,Q,2007,H,,5,16,18,0,PST,0.8140000104904175, ,Maximum
08NM240,Q,2008,H,,5,18,2,0,PST,1.7899999618530271, ,Maximum
08NM240,Q,2009,H,,5,29,18,0,PST,1.1399999856948853, ,Maximum
08NM240,Q,2010,H,,5,17,21,41,PST,1.2100000381469729, ,Maximum
08NM240,Q,2011,H,,6,7,21,36,PST,1.3339999914169312, ,Maximum
08NM240,Q,2012,H,,6,13,7,26,PST,1.0700000524520874, ,Maximum
08NM240,Q,2013,H,,5,10,18,16,PST,1.4299999475479126, ,Maximum
08NM240,Q,2014,H,,5,16,22,1,PST,1.0700000524520874, ,Maximum
08NM240,Q,2015,H,,5,17,20,1,PST,0.5770000219345093, ,Maximum
08NM240,Q,2015,L,,8,26,14,46,PST,0.0020000000949949026, ,Minimum
08NM240,Q,2016,H,,4,21,20,10,PST,1.1699999570846558, ,Maximum
08NM240,Q,2017,H,,5,23,16,55,PST,1.7000000476837158, ,Maximum
08NM240,Q,2018,H,,5,15,18,25,PST,1.7799999713897705, ,Maximum
08NM240,Q,2019,H,,5,11,17,55,PST,0.7749999761581421, ,Maximum
08NM240,Q,2020,H,,5,31,0,10,PST,1.4500000476837158, ,Maximum
08NM240,Q,2021,H,,5,16,18,50,PST,0.7229999899864197, ,Maximum
