Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08NN002,CopyPaste,QR,2023-11-25T13:50:00,2023-11-25T21:10:00,2024-01-19T16:18:59,-8,Ice used water temps and compared to 08NE039Override: Linear‌Q(t) = (-0.22119486384413)t + 2.8004152287029185‌,,Normal
08NN002,CopyPaste,HG,2023-10-19T20:55:00,2024-01-09T19:25:00,2024-01-09T21:24:25,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,Drift,HG,2023-08-15T18:00:00,2023-10-19T20:30:00,2023-10-20T13:10:32,-8,SRC,"DriftPoints:(Offset:0,Time:2023-08-15T18:00:00Z);(Offset:0.014,Time:2023-10-19T20:30:00Z)",Normal
08NN002,Offset,HG,2023-08-10T02:50:00,2023-08-15T17:55:00,2023-11-28T21:20:25,-8,sensor movement to RESET,Offset:-0.013,Normal
08NN002,AdjustableTrim,HG,2023-08-10T01:15:00,2023-08-10T03:10:00,2024-01-02T16:25:56,-8,strange stage rise and partial return. Assume public stepping on rock covering sensor effecting stage found,"UpperThresholdPoints:(Time:2023-08-10T01:15:00Z,Value:0.8941550009213127);(Time:2023-08-10T03:10:00Z,Value:0.8941550009213127),TrimAction:Delete",Normal
08NN002,Offset,HG,2023-07-13T00:20:00,2023-08-10T01:45:00,2023-11-28T21:42:56,-8,sensor movement. May be caused by public poking at sensor,Offset:-0.007,Normal
08NN002,AdjustableTrim,HG,2023-07-12T23:20:00,2023-07-13T00:50:00,2023-11-28T21:54:07,-8,sensor movement spike,"UpperThresholdPoints:(Time:2023-07-12T23:20:00Z,Value:1.1682444016820923);(Time:2023-07-13T00:50:00Z,Value:1.1682444016820923),TrimAction:Delete",Normal
08NN002,CopyPaste,HG,2023-06-06T19:30:00,2023-08-15T17:55:00,2023-08-15T23:16:09,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,CopyPaste,HG,2023-05-06T23:45:00,2023-06-06T18:10:00,2023-06-07T20:48:20,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,Drift,HG,2023-04-04T21:30:00,2023-05-06T23:40:00,2023-05-08T22:13:11,-8,SRC - VISIT TO VISIT AND JUST PRIOR TO RESET.,"DriftPoints:(Offset:0,Time:2023-04-04T21:30:00Z);(Offset:-0.01,Time:2023-05-06T23:40:00Z)",Normal
08NN002,CopyPaste,HG,2023-04-04T21:30:00,2023-05-06T23:40:00,2023-05-08T22:07:18,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,CopyPaste,QR,2023-02-23T11:55:00,2023-03-03T20:35:00,2023-11-29T17:41:05,-8,Ice found from water temps and internal logger temps at gauge and comparing to 08NN023 dischargeOverride: Linear‌Q(t) = (0.009281308950966786)t + 2.3841740309614083‌,,Normal
08NN002,CopyPaste,QR,2023-01-19T03:05:00,2023-02-17T21:40:00,2023-11-29T17:21:56,-8,Ice Effects using water temps and internal loggers temps from gauge and comparing discharge to 08|NN003Override: Linear‌Q(t) = (-0.05675975991981415)t + 3.9477591710750572‌,,Normal
08NN002,CopyPaste,HG,2023-01-10T23:30:00,2023-04-04T21:30:00,2023-04-05T23:12:38,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,Drift,HG,2023-01-10T23:15:00,2023-01-12T08:50:00,2023-02-16T21:28:22,-8,chopping out ice resulting in BW effects. Drift added to remove human made stage rise,"DriftPoints:(Offset:-0.004,Time:2023-01-10T23:15:00Z);(Offset:0,Time:2023-01-12T08:50:00Z)",Normal
08NN002,Drift,HG,2023-01-10T22:30:00,2023-01-10T23:10:00,2023-02-16T21:40:30,-8,BW caused by chopping out ice,"DriftPoints:(Offset:-0.007,Time:2023-01-10T22:30:00Z);(Offset:-0.005,Time:2023-01-10T23:10:00Z)",Normal
08NN002,AdjustableTrim,HG,2023-01-10T22:05:00,2023-01-10T23:00:00,2023-02-16T21:41:54,-8,removed ice BW spike,"UpperThresholdPoints:(Time:2023-01-10T22:05:00Z,Value:0.8489566713264287);(Time:2023-01-10T23:00:00Z,Value:0.8489566713264287),TrimAction:Delete",Normal
08NN002,CopyPaste,QR,2022-11-19T08:00:00,2022-11-20T18:00:00,2023-02-17T17:52:08,-8,BWOverride: Linear‌Q(t) = (0.00843196413634045)t + 1.0151697795094294‌with freehand adjustment‌,,Normal
08NN002,CopyPaste,QR,2022-11-18T10:45:00,2023-01-10T12:35:00,2023-02-17T16:12:32,-8,BWOverride: Linear‌Q(t) = (0.030428680436627283)t + 1.3633206267952913‌with freehand adjustment‌,,Normal
08NN002,CopyPaste,QR,2022-11-10T08:15:00,2022-11-16T22:00:00,2023-02-17T16:26:07,-8,Override: Linear‌Q(t) = (0.016120456455591823)t + 1.5592803755572473‌,,Normal
08NN002,Drift,HG,2022-10-19T19:50:00,2023-01-10T22:00:00,2023-01-11T18:37:17,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-10-19T19:50:00Z);(Offset:-0.015,Time:2023-01-10T22:00:00Z)",Normal
08NN002,AdjustableTrim,HG,2022-10-19T18:20:00,2022-10-19T21:55:00,2022-10-24T14:08:06,-8,station maintenace,"LowerThresholdPoints:(Time:2022-10-19T18:20:00Z,Value:0.7904624296741504);(Time:2022-10-19T21:55:00Z,Value:0.7904624296741504),TrimAction:Delete",Normal
08NN002,CopyPaste,HG,2022-09-09T13:30:00,2022-09-09T17:50:00,2022-10-24T14:32:42,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,Normal
08NN002,Drift,HG,2022-08-30T20:35:00,2022-10-19T19:50:00,2022-10-24T14:35:30,-8,SRC VISIT TO VISIT RESET,"DriftPoints:(Offset:0,Time:2022-08-30T20:35:00Z);(Offset:-0.004,Time:2022-10-19T19:50:00Z)",Normal
08NN002,Drift,HG,2022-08-03T23:25:00,2022-08-30T20:30:00,2022-09-01T13:06:23,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-08-03T23:25:00Z);(Offset:-0.006,Time:2022-08-30T20:30:00Z)",Normal
08NN002,CopyPaste,HG,2022-07-14T23:10:00,2022-07-15T00:35:00,2022-08-09T13:56:12,-8,"OC- TELEM GAPOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,AdjustableTrim,HG,2022-07-14T19:40:00,2022-07-15T02:30:00,2022-07-15T13:59:40,-8,,"UpperThresholdPoints:(Time:2022-07-14T19:40:00Z,Value:338.1949970159061);(Time:2022-07-15T02:30:00Z,Value:338.1949970159061),TrimAction:Delete",Normal
08NN002,DeleteRegion,HG,2022-07-05T10:15:00,2022-07-05T10:15:00,2022-07-07T16:01:52,-8,Spike,,Normal
08NN002,CopyPaste,HG,2022-07-05T08:35:00,2022-07-05T10:45:00,2022-08-24T17:40:51,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,Drift,HG,2022-05-25T20:10:00,2022-06-21T16:45:00,2022-06-22T14:51:04,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-05-25T20:10:00Z);(Offset:-0.019,Time:2022-06-21T16:45:00Z)",Normal
08NN002,Drift,HG,2022-04-05T19:30:00,2022-04-05T22:00:00,2022-04-06T13:43:42,-8,SRC- DURING VISIT,"DriftPoints:(Offset:-0.052,Time:2022-04-05T19:30:00Z);(Offset:-0.058,Time:2022-04-05T22:00:00Z)",Normal
08NN002,CopyPaste,HG,2022-03-14T08:40:00,2022-03-14T15:45:00,2022-05-30T20:06:08,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,CopyPaste,QR,2022-02-22T12:10:00,2022-03-01T00:30:00,2022-07-19T19:35:10,-8,BWOverride: Linear‌Q(t) = (0.018048159809053468)t + 5.990617611683631‌with freehand adjustment‌,,Normal
08NN002,CopyPaste,QR,2022-02-17T11:45:00,2022-02-17T15:10:00,2022-07-19T19:30:27,-8,BWOverride: Linear‌Q(t) = (-0.03765321973739194)t + 6.145551250782152‌,,Normal
08NN002,CopyPaste,QR,2022-02-16T17:00:00,2022-02-16T21:15:00,2022-07-19T19:28:59,-8,BWOverride: Linear‌Q(t) = (-0.6014815231870664)t + 6.27483754765577‌,,Normal
08NN002,CopyPaste,QR,2022-02-15T21:35:00,2022-02-16T00:05:00,2022-07-19T19:27:26,-8,BWOverride: Linear‌Q(t) = (0.2858165075222331)t + 6.4064899852665205‌,,Normal
08NN002,CopyPaste,QR,2022-02-14T20:35:00,2022-02-15T15:30:00,2022-07-19T19:25:14,-8,BWOverride: Linear‌Q(t) = (0.19275729909172507)t + 6.343334847912653‌,,Normal
08NN002,Drift,HG,2022-01-12T00:50:00,2022-04-05T19:25:00,2022-04-06T13:42:44,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-01-12T00:50:00Z);(Offset:-0.052,Time:2022-04-05T19:25:00Z)",Normal
08NN002,CopyPaste,QR,2022-01-11T20:35:00,2022-02-15T15:30:00,2022-07-19T19:21:09,-8,BWOverride: Linear‌Q(t) = (-0.04177750757113897)t + 7.901873247820232‌with freehand adjustment‌,,Normal
08NN002,CopyPaste,QR,2021-12-16T08:35:00,2022-01-12T00:50:00,2022-02-03T21:45:25,-8,Override: Linear‌Q(t) = (0.0464928562021096)t + 14.880022248083062‌,,Normal
08NN002,CopyPaste,QR,2021-12-06T08:05:00,2021-12-08T04:45:00,2022-02-03T21:41:17,-8,Override: Linear‌Q(t) = (-1.1987186142092487)t + 26.536300731244104‌,,Normal
08NN002,CopyPaste,HG,2021-11-19T15:30:00,2021-11-19T22:05:00,2022-01-28T21:24:41,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,Normal
08NN002,AdjustableTrim,HG,2021-10-27T07:05:00,2021-10-27T13:15:00,2022-02-03T20:32:13,-8,,"UpperThresholdPoints:(Time:2021-10-27T07:05:00Z,Value:0.9678968977268934);(Time:2021-10-27T13:15:00Z,Value:0.9688517476724732),TrimAction:Delete",Normal
08NN002,Drift,HG,2021-08-31T21:15:00,2021-10-26T20:15:00,2021-10-31T17:09:16,-8,SRC VISIT TO VISIT RESET,"DriftPoints:(Offset:0,Time:2021-08-31T21:15:00Z);(Offset:0.003,Time:2021-10-26T20:15:00Z)",Normal
08NN002,DeleteRegion,HG,2021-08-13T22:40:00,2021-08-13T22:40:00,2021-08-16T17:36:24,-8,Erroneous data point.,,Normal
08NN002,AdjustableTrim,HG,2021-08-10T16:20:00,2021-08-10T17:05:00,2021-08-10T17:46:47,-8,,"LowerThresholdPoints:(Time:2021-08-10T16:20:00Z,Value:0.8660240288557117);(Time:2021-08-10T17:05:00Z,Value:0.8660240288557117),TrimAction:Delete",Normal
08NN002,AdjustableTrim,HG,2021-08-10T15:45:00,2021-08-10T20:10:00,2021-08-13T22:53:39,-8,,"LowerThresholdPoints:(Time:2021-08-10T15:45:00Z,Value:0.8607750713492732);(Time:2021-08-10T20:10:00Z,Value:0.8607750713492732),TrimAction:Delete",Normal
08NN002,AdjustableTrim,HG,2021-08-04T02:00:00,2021-08-04T10:55:00,2021-11-30T20:10:11,-8,,"UpperThresholdPoints:(Time:2021-08-04T02:00:00Z,Value:0.8582418625790982);(Time:2021-08-04T10:55:00Z,Value:0.8582418625790982),TrimAction:Delete",Normal
08NN002,Offset,HG,2021-07-31T20:35:00,2021-08-13T22:45:00,2021-09-29T17:44:05,-8,sensor movement. Reset next visit,Offset:-0.004,Normal
08NN002,Drift,HG,2021-07-20T20:25:00,2021-08-13T22:45:00,2021-08-16T17:40:59,-8,SRC APPLIED drift from visit to visit,"DriftPoints:(Offset:0,Time:2021-07-20T20:25:00Z);(Offset:-0.003,Time:2021-08-13T22:45:00Z)",Normal
08NN002,CopyPaste,HG,2021-07-20T20:25:00,2021-08-13T22:45:00,2021-08-16T17:39:33,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,Normal
08NN002,CopyPaste,HG,2021-07-20T20:03:40,2021-07-20T21:35:08,2021-07-23T21:31:57,-8,"filling in data gapOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NN002, time shift: 00:00 minutes.‌",,PreProcessing
08NN002,DeleteRegion,HG,2021-07-20T19:05:00,2021-07-20T19:25:00,2021-07-21T17:10:25,-8,DEL - ERRONEOUS HG,,Normal
08NN002,AdjustableTrim,HG,2021-07-16T06:10:00,2021-07-21T03:45:00,2021-11-30T20:06:43,-8,,"LowerThresholdPoints:(Time:2021-07-16T06:10:00Z,Value:0.9766173374785351);(Time:2021-07-16T13:28:04.083Z,Value:0.9744465725676574);(Time:2021-07-16T17:27:06.199Z,Value:0.9722758076567797);(Time:2021-07-17T11:18:54.397Z,Value:0.9630918022646047);(Time:2021-07-17T15:10:13.865Z,Value:0.9597521639401774);(Time:2021-07-17T18:23:00.087Z,Value:0.9609210373537269);(Time:2021-07-18T07:37:12.925Z,Value:0.954408740073152);(Time:2021-07-18T16:44:40.998Z,Value:0.9517370294136102);(Time:2021-07-19T05:04:55.293Z,Value:0.9442228431836488);(Time:2021-07-19T16:46:36.344Z,Value:0.9412171686916643);(Time:2021-07-20T00:21:32.629Z,Value:0.9350388377914738);(Time:2021-07-20T11:16:57.787Z,Value:0.9342039282103671);(Time:2021-07-20T22:12:22.972Z,Value:0.9308642898859398);(Time:2021-07-21T03:45:00Z,Value:0.9168378089233452),UpperThresholdPoints:(Time:2021-07-16T06:10:00Z,Value:0.9849664332896032);(Time:2021-07-17T08:06:08.175Z,Value:0.9697710789134593);(Time:2021-07-18T09:40:35.308Z,Value:0.9672663501701387);(Time:2021-07-21T03:45:00Z,Value:0.9357067654563593),TrimAction:Delete",Normal
08NN002,AdjustableTrim,HG,2021-07-11T05:55:00,2021-07-15T22:00:00,2021-11-30T20:05:08,-8,,"LowerThresholdPoints:(Time:2021-07-11T05:55:00Z,Value:1.0542702665334054);(Time:2021-07-11T16:48:08.746Z,Value:1.0467447732366502);(Time:2021-07-11T20:51:19.976Z,Value:1.0344889698676483);(Time:2021-07-12T08:49:01.913Z,Value:1.031263758454753);(Time:2021-07-12T18:12:30.871Z,Value:1.0252433638173488);(Time:2021-07-13T02:36:40.992Z,Value:1.0151376981094224);(Time:2021-07-13T08:32:34.019Z,Value:1.0162127685803874);(Time:2021-07-14T06:05:36.682Z,Value:1.0028818947404206);(Time:2021-07-14T12:25:13.244Z,Value:0.9996566833275253);(Time:2021-07-14T19:14:29.224Z,Value:0.9975065423855953);(Time:2021-07-14T23:11:44.575Z,Value:0.9906260913714189);(Time:2021-07-15T07:06:15.299Z,Value:0.9871858658643307);(Time:2021-07-15T13:49:35.396Z,Value:0.9861107953933657);(Time:2021-07-15T18:46:09.585Z,Value:0.9833156121688564);(Time:2021-07-15T22:00:00Z,Value:0.976865189343066),TrimAction:Delete",Normal
08NN002,Offset,HG,2021-07-09T03:25:00,2021-07-09T05:15:00,2021-11-30T20:02:33,-8,,Offset:-0.003,Normal
