STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
09BC001,H,2011,H,8.0,5,28,12,16,PST,4.414999961853027, ,Maximum
09BC001,H,2011,L,8.0,11,4,11,21,PST,1.0119999647140503, ,Minimum
09BC001,H,2012,H,8.0,6,17,22,16,PST,4.803999900817871,E,Maximum
09BC001,H,2013,H,8.0,6,4,12,20,PST,5.912000179290772, ,Maximum
09BC001,H,2014,H,8.0,5,24,17,5,PST,4.073999881744385, ,Maximum
09BC001,H,2014,L,8.0,11,8,21,45,PST,1.065000057220459, ,Minimum
09BC001,H,2015,H,8.0,5,24,23,20,PST,4.395999908447266, ,Maximum
09BC001,H,2016,H,8.0,4,21,12,20,PST,4.000999927520752, ,Maximum
09BC001,H,2016,L,8.0,10,31,13,5,PST,1.14900004863739, ,Minimum
09BC001,H,2017,H,8.0,7,8,10,50,PST,3.25600004196167, ,Maximum
09BC001,H,2017,L,8.0,11,6,15,30,PST,1.2209999561309814, ,Minimum
09BC001,H,2019,H,8.0,6,3,7,15,PST,2.869999885559082, ,Maximum
09BC001,H,2019,L,8.0,10,28,22,25,PST,0.9070000052452089, ,Minimum
09BC001,H,2020,H,8.0,10,30,9,15,PST,4.089000225067139, ,Maximum
09BC001,H,2021,H,8.0,6,7,15,20,PST,4.2829999923706055, ,Maximum
09BC001,H,2021,L,8.0,11,7,21,25,PST,1.0770000219345093, ,Minimum
09BC001,H,2022,H,8.0,6,12,19,55,PST,5.579999923706055, ,Maximum
09BC001,H,2024,H,8.0,5,3,11,10,PST,5.070000171661377, ,Maximum
09BC001,Q,1963,H,,5,28,1,0,YST,2490.0,,Maximum
09BC001,Q,1964,H,,6,11,9,0,YST,4160.0,,Maximum
09BC001,Q,1965,H,,6,3,4,30,YST,1770.0,,Maximum
09BC001,Q,1966,H,,6,13,9,0,YST,1710.0,,Maximum
09BC001,Q,1967,H,,6,5,11,45,YST,3000.0,,Maximum
09BC001,Q,1968,H,,5,25,23,0,YST,2010.0,,Maximum
09BC001,Q,1969,H,,6,13,0,1,YST,1400.0,,Maximum
09BC001,Q,1970,H,,6,10,12,0,YST,2280.0,,Maximum
09BC001,Q,1971,H,,6,15,9,53,YST,2040.0,,Maximum
09BC001,Q,1972,H,,6,4,17,40,YST,3450.0,,Maximum
09BC001,Q,1973,H,,5,20,11,0,YST,1930.0,,Maximum
09BC001,Q,1974,H,,5,29,3,41,YST,1800.0,,Maximum
