STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10AC005,H,2011,H,8.0,5,28,1.0,56.0,PST,1.9359999895095823, ,Maximum
10AC005,H,2012,H,8.0,6,8,8.0,1.0,PST,2.815999984741211, ,Maximum
10AC005,H,2013,H,8.0,5,30,0.0,6.0,PST,2.6459999084472656, ,Maximum
10AC005,H,2014,H,8.0,6,1,1.0,56.0,PST,1.9170000553131104, ,Maximum
10AC005,H,2014,L,8.0,5,6,13.0,26.0,PST,0.6439999938011169, ,Minimum
10AC005,H,2015,H,8.0,5,28,7.0,31.0,PST,2.220999956130981, ,Maximum
10AC005,H,2015,L,8.0,4,22,16.0,21.0,PST,0.5070000290870667, ,Minimum
10AC005,H,2016,H,8.0,5,24,0.0,25.0,PST,1.7890000343322754, ,Maximum
10AC005,H,2016,L,8.0,4,14,11.0,0.0,PST,0.5849999785423279, ,Minimum
10AC005,H,2017,H,8.0,6,9,2.0,55.0,PST,1.7009999752044678, ,Maximum
10AC005,H,2018,H,8.0,5,19,23.0,15.0,PST,1.718000054359436, ,Maximum
10AC005,H,2018,L,8.0,5,1,14.0,0.0,PST,0.5490000247955322, ,Minimum
10AC005,H,2021,H,8.0,6,3,1.0,20.0,PST,2.507999897003174, ,Maximum
10AC005,H,2021,L,8.0,5,4,9.0,20.0,PST,0.5740000009536743, ,Minimum
10AC005,H,2022,H,8.0,6,7,1.0,0.0,PST,2.384999990463257, ,Maximum
10AC005,H,2022,L,8.0,5,6,3.0,10.0,PST,0.5109999775886536, ,Minimum
10AC005,H,2023,H,8.0,5,20,1.0,30.0,PST,2.240999937057495, ,Maximum
10AC005,H,2023,L,8.0,9,11,13.0,0.0,PST,0.5889999866485596, ,Minimum
10AC005,H,2024,H,8.0,7,24,8.0,10.0,PST,1.8630000352859497, ,Maximum
10AC005,H,2024,L,8.0,4,25,5.0,15.0,PST,0.5040000081062317, ,Minimum
10AC005,Q,1964,H,,6,11,2.0,45.0,PST,216.0,,Maximum
10AC005,Q,1965,H,,6,2,13.0,30.0,PST,131.0,,Maximum
10AC005,Q,1966,H,,6,11,7.0,0.0,PST,149.0,,Maximum
10AC005,Q,1967,H,,6,6,4.0,0.0,PST,155.0,,Maximum
10AC005,Q,1968,H,,6,10,23.0,0.0,PST,115.0,,Maximum
10AC005,Q,1969,H,,5,25,9.0,20.0,PST,191.0,,Maximum
10AC005,Q,1970,H,,6,4,0.0,7.0,PST,242.0,,Maximum
10AC005,Q,1971,H,,6,10,1.0,10.0,PST,154.0,,Maximum
10AC005,Q,1972,H,,5,30,23.0,35.0,PST,193.0,,Maximum
10AC005,Q,1973,H,,6,14,1.0,50.0,PST,145.0,,Maximum
10AC005,Q,1974,H,,7,17,,,,150.0,,Maximum
10AC005,Q,1975,H,,6,29,11.0,46.0,PST,117.0,,Maximum
10AC005,Q,1976,H,,7,1,9.0,59.0,PST,170.0,,Maximum
10AC005,Q,1977,H,,6,16,2.0,46.0,PST,123.0,,Maximum
10AC005,Q,1978,H,,6,4,4.0,20.0,PST,86.69999694824219,,Maximum
10AC005,Q,1979,H,,6,3,2.0,8.0,PST,151.0,,Maximum
10AC005,Q,1980,H,,6,5,22.0,27.0,PST,127.0,,Maximum
10AC005,Q,1981,H,,5,27,,,,142.0,,Maximum
10AC005,Q,1982,H,,6,11,7.0,7.0,PST,113.0,,Maximum
10AC005,Q,1983,H,,5,31,2.0,36.0,PST,154.0,,Maximum
10AC005,Q,1984,H,,6,10,3.0,40.0,PST,99.8000030517578,,Maximum
10AC005,Q,1985,H,,6,5,2.0,45.0,PST,178.0,,Maximum
10AC005,Q,1986,H,,6,16,2.0,0.0,PST,127.0,,Maximum
10AC005,Q,1987,H,,6,22,3.0,4.0,PST,183.0,,Maximum
10AC005,Q,1988,H,,7,13,6.0,29.0,PST,111.0,,Maximum
10AC005,Q,1989,H,,6,5,1.0,27.0,PST,137.0,,Maximum
10AC005,Q,1990,H,,6,1,3.0,45.0,PST,194.0,,Maximum
10AC005,Q,1991,H,,6,7,11.0,47.0,PST,129.0,,Maximum
10AC005,Q,1992,H,,6,15,2.0,56.0,PST,189.0,,Maximum
10AC005,Q,1993,H,,5,17,1.0,10.0,PST,112.0,,Maximum
10AC005,Q,1994,H,,9,22,3.0,51.0,PST,143.0,,Maximum
10AC005,Q,1995,H,,5,14,5.0,27.0,PST,102.0,,Maximum
10AC005,Q,1996,H,,6,4,0.0,41.0,PST,101.0,,Maximum
10AC005,Q,1997,H,,6,5,20.0,0.0,PST,192.0,,Maximum
10AC005,Q,1998,H,,5,26,,,,152.0,,Maximum
10AC005,Q,1999,H,,6,16,23.0,59.0,PST,173.0, ,Maximum
10AC005,Q,2000,H,,6,13,4.0,0.0,PST,117.0, ,Maximum
10AC005,Q,2001,H,,6,12,0.0,32.0,PST,153.0, ,Maximum
10AC005,Q,2002,H,,5,29,0.0,54.0,PST,137.0, ,Maximum
10AC005,Q,2003,H,,6,7,3.0,45.0,PST,116.0, ,Maximum
10AC005,Q,2004,H,,5,26,1.0,45.0,PST,138.0, ,Maximum
10AC005,Q,2005,H,,5,28,1.0,30.0,PST,143.0, ,Maximum
10AC005,Q,2006,H,,6,15,17.0,15.0,PST,215.0, ,Maximum
10AC005,Q,2007,H,,6,5,6.0,25.0,PST,203.0, ,Maximum
10AC005,Q,2008,H,,5,29,0.0,1.0,PST,153.0, ,Maximum
10AC005,Q,2009,H,,6,7,1.0,16.0,PST,200.0, ,Maximum
10AC005,Q,2010,H,,5,20,0.0,0.0,PST,80.5,,Maximum
10AC005,Q,2011,H,,5,28,1.0,56.0,PST,124.0, ,Maximum
10AC005,Q,2012,H,,6,8,8.0,1.0,PST,237.0, ,Maximum
10AC005,Q,2013,H,,5,29,23.0,51.0,PST,218.0, ,Maximum
10AC005,Q,2014,H,,6,1,1.0,56.0,PST,120.0, ,Maximum
10AC005,Q,2015,H,,5,28,4.0,51.0,PST,159.0, ,Maximum
10AC005,Q,2016,H,,5,24,0.0,25.0,PST,106.0, ,Maximum
10AC005,Q,2017,H,,6,9,2.0,55.0,PST,95.0999984741211,E,Maximum
10AC005,Q,2018,H,,5,19,23.0,15.0,PST,97.0999984741211, ,Maximum
10AC005,Q,2019,H,,5,21,23.0,50.0,PST,118.0, ,Maximum
10AC005,Q,2021,H,,6,3,1.0,20.0,PST,200.0, ,Maximum
10AC005,Q,2022,H,,6,7,1.0,0.0,PST,182.0, ,Maximum
10AC005,Q,2023,H,,5,20,1.0,30.0,PST,162.0, ,Maximum
10AC005,Q,2024,H,,7,24,8.0,10.0,PST,113.0, ,Maximum
