Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
10AC005,2024-05-15T20:25:00,-8,Stage/Niveau d'eau,0.875,,,,,,,,,GC: 0.000 HG: 0.876 HG2: 0.908 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
10AC005,2024-05-15T18:22:30,-8,Discharge/Débit,,0.885,20.5,21.01,-0.0136,-0.040900003,-0.040900003,Measurement condition : Clear; Cloudy  Sleet  Moderate Wind Blowing Downstream,Clear,Cableway measurement with 30 lb wt.  HFC Comments: Control Condition: OPEMeasurement Section Codition: OPENWeather Condition: CLODY Purge at 0938 sounded clear. SRC<0.003 on arrival and departure. OTT (HG2) reset at 12:30 PST.  Mid-section,37.0,25.2,0.814,4.5,3.7,Provisional/Provisoire,
10AC005,2024-05-15T17:30:00,-8,Stage/Niveau d'eau,0.889,,,,,,,,,GC: 0.000 HG: 0.887 HG2: 0.921 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
10AC005,2024-03-05T22:05:00,-8,Stage/Niveau d'eau,0.91,,,,,,,,,HG: 0.909 HG2: 0.913 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
10AC005,2024-03-05T20:59:00,-8,Discharge/Débit,,0.908,2.93,21.01,-0.437,-0.8719,-0.8719,Measurement condition : Ice; Clear  No Precipitation  Very Light Wind ,100% ice cover at control,Conventional ice QM 400m d/s gauge.  HFC Comments: Control Condition: ICEMeasurement Section Codition: ICEWeather Condition: SUNY SRC<0.003m on arr./dep. Mid-section,16.0,5.99,0.49,-16.0,0.0,Provisional/Provisoire,
10AC005,2024-01-30T22:00:00,-8,Stage/Niveau d'eau,1.041,,,,,,,,,HG: 1.041 HG2: 1.044 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
10AC005,2024-01-30T21:50:00,-8,Stage/Niveau d'eau,1.04,,,,,,,,,HG: 1.047 HG2: 1.043 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
10AC005,2024-01-30T20:33:30,-8,Discharge/Débit,,1.038,4.55,21.01,-0.507,-0.8581,-0.8581,Measurement condition : Ice; Mostly Cloudy  Light Rain  Light Wind Blowing Upstream,100% ice cover at gauge. Slush and water on top of ice in isolated areas. ,HFC Comments: Control Condition: iceMeasurement Section Codition: iceWeather Condition: sunand cloud Stage sensor reset (-0.007m SRC) at 13:55 PST.  Mid-section,23.1,10.0,0.453,2.5,0.0,Provisional/Provisoire,
10AC005,2023-09-02T01:50:00,-8,Stage/Niveau d'eau,0.605,,,,,,,,,HG: 0.605 HG2: 0.604 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
10AC005,2023-09-02T01:45:00,-8,Stage/Niveau d'eau,0.606,,,,,,,,,HG: 0.606 HG2: 0.609 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
