Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
10BE004,Drift,HG,2024-01-07T20:25:00,2024-02-11T20:50:00,2024-02-14T23:01:52,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2024-01-07T20:25:00Z);(Offset:0.004,Time:2024-02-11T20:50:00Z)",Normal
10BE004,CopyPaste,HG,2024-01-07T20:25:00,2024-02-11T20:45:00,2024-02-14T22:56:14,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger2@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,CopyPaste,QR,2023-12-06T08:00:00,2023-12-12T08:00:00,2024-01-09T16:53:37,-8,Override: Moving Average Filter‌Window: 111.‌Iterations: 1.‌,,Normal
10BE004,CopyPaste,QR,2023-10-24T08:00:00,2024-05-01T08:00:00,2024-01-09T16:21:06,-8,Override: Log Linear‌Q(t) = 13.121022553526275e^(-0.0051t)‌,,Normal
10BE004,CopyPaste,QR,2023-10-22T17:50:00,2023-12-09T11:45:00,2024-01-09T16:48:53,-8,Override: Moving Average Filter‌Window: 33.‌Iterations: 1.‌,,Normal
10BE004,DeleteRegion,HG,2023-10-15T16:25:00,2023-10-15T16:25:00,2023-10-19T15:18:18,-8,DATA SPIKE,,Normal
10BE004,Drift,HG,2023-10-04T18:30:00,2024-01-07T20:20:00,2024-01-08T19:21:41,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-10-04T18:30:00Z);(Offset:-0.017,Time:2024-01-07T20:20:00Z)",Normal
10BE004,Drift,HG,2023-06-06T18:05:00,2023-08-14T16:40:00,2023-08-15T21:28:46,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-06-06T18:05:00Z);(Offset:-0.007,Time:2023-08-14T16:40:00Z)",Normal
10BE004,CopyPaste,HG,2023-06-06T18:05:00,2023-08-14T16:30:00,2023-08-15T21:22:58,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,CopyPaste,QR,2023-04-28T16:50:00,2023-04-29T03:05:00,2023-11-30T21:54:55,-8,Override: Moving Average Filter‌Window: 45.‌Iterations: 1.‌,,Normal
10BE004,CopyPaste,QR,2023-04-05T05:05:00,2023-04-29T03:45:00,2023-11-30T21:43:35,-8,Override: Log Linear‌Q(t) = 7.539879756207438e^(0.010709029593222667t)‌,,Normal
10BE004,CopyPaste,QR,2023-04-03T07:20:00,2023-04-07T12:35:00,2023-11-30T21:52:36,-8,Override: Moving Average Filter‌Window: 500.‌Iterations: 1.‌,,Normal
10BE004,CopyPaste,HG,2023-04-02T18:10:00,2023-06-06T16:35:00,2023-06-07T22:34:04,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,Drift,HG,2023-04-02T16:45:00,2023-06-06T16:40:00,2023-06-07T22:35:01,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-04-02T16:45:00Z);(Offset:0.016,Time:2023-06-06T16:40:00Z)",Normal
10BE004,Offset,HG,2023-04-02T16:30:00,2023-04-02T16:35:00,2023-04-03T18:12:20,-8,SRC - INTRAVISIT MAINTENANCE,Offset:-0.182,Normal
10BE004,DeleteRegion,HG,2023-04-02T15:45:00,2023-04-02T16:25:00,2023-04-03T18:10:16,-8,RFT - MAINTENANCE,,Normal
10BE004,Offset,HG,2023-04-02T15:40:00,2023-04-02T15:40:00,2023-06-16T20:16:39,-8,SRC - DWL.,Offset:-0.026,Normal
10BE004,DeleteRegion,HG,2023-04-02T15:30:00,2023-04-02T15:35:00,2023-06-16T20:17:19,-8,DISREGARD - Sensor inadvertently affected prior to obtaining DWL. ,,Normal
10BE004,Offset,HG,2023-03-28T19:50:00,2023-04-02T15:25:00,2023-06-16T20:20:02,-8,SRC - Sensor inadvertently affected prior to obtaining DWL. ,Offset:-0.015,Normal
10BE004,Deviation,HG,2023-03-28T17:05:00,2023-04-02T15:25:00,2023-04-17T17:33:03,-8,Slush/ice on sensor causing data spikes. ,"DeviationValue:0.008,DeviationType:DeviationFromMinimum,WindowSizeInMinutes:120",Normal
10BE004,DeleteRegion,HG,2023-03-06T18:40:00,2023-03-28T19:45:00,2023-04-04T21:44:00,-8,Sensor effected by ice,,Normal
10BE004,CopyPaste,HG,2023-02-16T22:35:00,2023-04-02T15:45:00,2023-04-03T18:03:34,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,Drift,HG,2023-02-16T21:35:00,2023-02-16T22:30:00,2023-02-21T15:58:20,-8,SRC - DURING VISIT AND JUST PRIOR TO RESET.,"DriftPoints:(Offset:-0.009,Time:2023-02-16T21:35:00Z);(Offset:-0.012,Time:2023-02-16T22:30:00Z)",Normal
10BE004,CopyPaste,HG,2023-01-06T21:25:00,2023-02-16T21:20:00,2023-02-21T15:47:59,-8,"Telemetry gap fillOverride: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,Drift,HG,2023-01-06T21:25:00,2023-02-16T21:30:00,2023-02-21T15:51:57,-8,SRC - visit to visit as found SRC,"DriftPoints:(Offset:0,Time:2023-01-06T21:25:00Z);(Offset:-0.009,Time:2023-02-16T21:30:00Z)",Normal
10BE004,CopyPaste,QR,2022-11-28T21:05:00,2022-11-29T04:20:00,2023-12-19T16:41:25,-8,,,Normal
10BE004,CopyPaste,QR,2022-11-23T10:20:00,2023-04-28T22:15:00,2023-11-30T21:06:56,-8,Override: Log Linear‌Q(t) = 13.384720631341555e^(-0.004322203402537026t)‌,,Normal
10BE004,CopyPaste,QR,2022-11-22T13:05:00,2022-11-24T06:20:00,2023-11-30T21:56:36,-8,Override: Moving Average Filter‌Window: 200.‌Iterations: 1.‌,,Normal
10BE004,CopyPaste,QR,2022-11-18T09:05:00,2022-11-20T07:35:00,2023-11-30T20:56:08,-8,,,Normal
10BE004,DeleteRegion,HG,2022-11-15T04:35:00,2022-11-15T04:35:00,2022-11-15T15:44:37,-8,Data spike,,Normal
10BE004,CopyPaste,QR,2022-11-09T08:35:00,2022-11-12T09:05:00,2023-11-30T20:45:52,-8,,,Normal
10BE004,CopyPaste,QR,2022-11-07T05:35:00,2023-04-07T06:35:00,2023-11-30T20:36:15,-8,Override: Log Linear‌Q(t) = 19.42815227779141e^(-0.023t)‌,,Normal
10BE004,Drift,HG,2022-10-08T18:40:00,2023-01-06T21:20:00,2023-01-10T03:22:26,-8,SRC - to just before reset.,"DriftPoints:(Offset:0,Time:2022-10-08T18:40:00Z);(Offset:0.041,Time:2023-01-06T21:20:00Z)",Normal
10BE004,CopyPaste,HG,2022-10-08T18:40:00,2023-01-06T20:10:00,2023-01-10T03:19:43,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,Drift,HG,2022-07-25T16:50:00,2022-10-08T18:35:00,2022-10-17T20:17:43,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-07-25T16:50:00Z);(Offset:-0.041,Time:2022-10-08T18:35:00Z)",Normal
10BE004,Drift,HG,2022-05-23T18:00:00,2022-07-25T16:45:00,2022-07-29T22:02:39,-8,SENSOR RESET CORRECTION - Sensor drift. Corrected DWL within +/-0.003m. ,"DriftPoints:(Offset:0,Time:2022-05-23T18:00:00Z);(Offset:0.051,Time:2022-07-25T16:45:00Z)",Normal
10BE004,CopyPaste,HG,2022-03-28T18:10:00,2022-05-23T17:55:00,2022-06-05T19:24:07,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,Normal
10BE004,Drift,HG,2022-03-28T17:25:00,2022-05-23T15:35:00,2022-06-05T19:25:35,-8,SENSOR RESET CORRECTION - Sensor drift. Corrected DWL within +/-0.003m. ,"DriftPoints:(Offset:0,Time:2022-03-28T17:25:00Z);(Offset:-0.036,Time:2022-05-23T15:35:00Z)",Normal
10BE004,Offset,HG,2022-03-28T17:20:00,2022-03-28T17:20:00,2022-04-11T17:07:34,-8,SENSOR RESET CORRECTION - Direct water level. ,Offset:0.039,Normal
10BE004,DeleteRegion,HG,2022-03-28T16:30:00,2022-03-28T17:15:00,2022-04-01T20:25:43,-8,DISREGARD - Large shelf of ice collapsed at 8:27 while setting up DWL rod. Drop in stage results. DELETE period 08:30 - 09:05 (sensor work). Assume DWL found at 8:35applies to 8:25 reading for SRC applied backwards.,,Normal
10BE004,CopyPaste,QR,2022-03-25T08:35:00,2022-03-25T19:35:00,2022-04-11T17:21:40,-8,Override: Log Linear‌Q(t) = 8.067218871661607e^(-0.1103533798307019t)‌,,Normal
10BE004,CopyPaste,QR,2022-03-13T08:00:00,2022-04-24T08:00:00,2023-12-18T21:53:14,-8,Override: Log Linear‌Q(t) = 7.929064886995959e^(0.00692664290233446t)‌,,Normal
10BE004,CopyPaste,QR,2022-03-10T08:00:00,2022-04-24T08:00:00,2023-12-18T21:55:04,-8,Override: Moving Average Filter‌Window: 55.‌Iterations: 1.‌,,Normal
10BE004,DeleteRegion,HG,2022-02-12T07:35:00,2022-02-12T07:35:00,2022-04-01T20:28:11,-8,,,Normal
10BE004,CopyPaste,QR,2022-02-09T11:15:00,2022-04-23T08:00:00,2023-12-18T21:48:29,-8,Override: Log Linear‌Q(t) = 9.006922434676332e^(-0.004t)‌,,Normal
10BE004,Offset,HG,2022-01-18T13:45:00,2022-01-19T19:20:00,2023-11-15T21:11:22,-8,OC- THEORIZED ORIFICE MOVEMENT ,Offset:-0.009827812967316607,Normal
10BE004,Drift,HG,2022-01-12T19:00:00,2022-03-28T16:25:00,2022-04-01T20:25:08,-8,SENSOR RESET CORRECTION - Sensor drift. ,"DriftPoints:(Offset:0,Time:2022-01-12T19:00:00Z);(Offset:-0.007,Time:2022-03-28T16:25:00Z)",Normal
10BE004,AdjustableTrim,HG,2022-01-01T08:00:00,2024-01-01T08:00:00,2022-07-19T21:21:26,-8,"DISREGARD - 99,999 spikes. ","UpperThresholdPoints:(Time:2022-01-01T08:00:00Z,Value:90000);(Time:2024-01-01T08:00:00Z,Value:90000),TrimAction:Delete",Normal
10BE004,CopyPaste,QR,2021-10-19T08:00:00,2022-02-24T14:55:00,2022-01-04T22:14:06,-8,Historical Mean Monthly discharge has been used to predict the placement of slow recession. Please do not edit and apply no shifts. Override: Log Linear‌Q(t) = 14.5e^(-0.0041t)‌,,Normal
10BE004,CopyPaste,QR,2021-10-18T01:05:00,2021-11-18T15:15:00,2022-03-22T19:08:38,-8,Override: Log Linear‌Q(t) = 26.15616790004803e^(-0.023t)‌,,Normal
10BE004,DeleteRegion,HG,2021-10-14T02:20:00,2021-10-14T02:20:00,2022-01-14T23:14:13,-8,Positive Data Spike,,Normal
10BE004,Drift,HG,2021-10-06T16:30:00,2022-01-12T18:55:00,2022-01-14T23:12:52,-8,SENSOR RESET CORRECTION - Sensor drift. ,"DriftPoints:(Offset:0,Time:2021-10-06T16:30:00Z);(Offset:0.012,Time:2022-01-12T18:55:00Z)",Normal
10BE004,DeleteRegion,HG,2021-09-13T18:25:00,2021-09-13T18:25:00,2021-11-03T15:17:57,-8,DISREGARD - Data spike. ,,Normal
10BE004,USGSMultiPoint,HG,2021-08-17T16:20:00,2021-10-06T16:20:00,2021-11-02T22:27:04,-8,SENSOR RESET CORRECTION - Sensor drift. Advanced: Point‌,"StartShiftPoints:(Value:0,Offset:0),EndShiftPoints:(Value:0,Offset:-0.032),UsgsType:Set 2",Normal
10BE004,Offset,HG,2021-07-03T03:00:00,2021-08-17T16:15:00,2021-08-18T03:34:34,-8,SENSOR RESET CORRECTION - Theorized sensor movement. ,Offset:0.055,Normal
10BE004,DeleteRegion,HG,2021-07-03T02:45:00,2021-07-03T02:55:00,2022-10-21T17:14:52,-8,DISREGARD - Data spike. ,,Normal
10BE004,DeleteRegion,HG,2021-07-03T02:00:00,2021-07-03T02:00:00,2022-10-21T17:18:08,-8,DISREGARD - Data spike. ,,Normal
10BE004,Offset,HG,2021-07-03T02:00:00,2021-08-17T16:15:00,2021-08-18T03:33:03,-8,SENSOR RESET CORRECTION - Theorized sensor movement. ,Offset:0.038,Normal
10BE004,CopyPaste,HG,2021-06-21T19:00:00,2021-08-17T01:55:00,2021-08-19T04:47:46,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,Drift,HG,2021-06-20T23:50:00,2021-08-17T16:15:00,2021-08-18T03:36:39,-8,SENSOR RESET CORRECTION - Sensor drift. ,"DriftPoints:(Offset:0,Time:2021-06-20T23:50:00Z);(Offset:-0.065,Time:2021-08-17T16:15:00Z)",Normal
10BE004,CopyPaste,HG,2021-06-17T20:10:00,2021-06-17T20:10:00,2022-10-21T17:09:02,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,CopyPaste,HG,2021-05-28T19:20:00,2021-05-28T19:20:00,2022-10-21T16:47:05,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10BE004, time shift: 00:00 minutes.‌",,PreProcessing
10BE004,CopyPaste,QR,2021-03-14T05:55:00,2021-03-15T21:50:00,2023-07-06T13:56:35,-8,Override: Linear‌Q(t) = (-0.0066891788360307234)t + 8.174270466633889‌,,Normal
