Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
10CB001,CopyPaste,QR,2024-01-21T19:25:00,2024-03-31T08:00:00,2024-01-30T17:01:10,-8,OC - SPRING 2024 ICE (PRELIMINARY)Override: Linear‌Q(t) = (-0.006616391150177295)t + 4.46‌,,Normal
10CB001,CopyPaste,QR,2023-10-24T14:25:00,2024-01-21T19:20:00,2023-10-31T15:03:18,-8,OC - WINTER 2023 ICEOverride: Linear‌Q(t) = (-0.02006617103265735)t + 6.25‌,,Normal
10CB001,Drift,HG,2023-10-15T18:05:00,2024-01-21T18:30:00,2024-01-22T21:17:49,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-10-15T18:05:00Z);(Offset:0.004,Time:2024-01-21T18:30:00Z)",Normal
10CB001,Offset,HG,2023-10-15T18:00:00,2023-10-15T18:00:00,2023-10-16T17:10:09,-8,RFT - SRC between purge/reset.,Offset:0.004,Normal
10CB001,DeleteRegion,HG,2023-09-26T17:40:00,2023-09-26T18:25:00,2023-09-29T15:06:52,-8,OC - DEL - LOGGER MAINTENANCE,,Normal
10CB001,RevertToRaw,HG,2023-09-26T17:35:00,2023-10-14T17:50:00,2024-01-30T16:40:25,-8,REVERT TO RAW - AQUARIUS GLITCH,,PreProcessing
10CB001,CopyPaste,QR,2023-08-05T20:40:00,2023-09-23T17:40:00,2023-09-29T15:38:30,-8,"OC - COPY & PASTE FROM 07EA004Override: Copy & Paste‌Source Data Set: Discharge.Working@07EA004, time shift: 00:00 minutes.‌",,PreProcessing
10CB001,Drift,QR,2023-08-05T20:40:00,2023-09-23T17:40:00,2023-09-29T16:02:29,-8,OC - DRIFT COPIED DATA,"DriftPoints:(Offset:0,Time:2023-08-05T20:40:00Z);(Offset:-7.15,Time:2023-09-23T17:40:00Z)",Normal
10CB001,Offset,QR,2023-08-05T20:40:00,2023-09-23T17:40:00,2023-09-29T15:40:21,-8,OC - OFFSET COPIED DATA,Offset:6.93,Normal
10CB001,AdjustableTrim,HG,2023-08-03T01:50:00,2023-08-03T06:40:00,2023-11-16T16:49:56,-8,OC - TRIM - SPIKES,"LowerThresholdPoints:(Time:2023-08-03T01:50:00Z,Value:1.6256857436480847);(Time:2023-08-03T06:40:00Z,Value:1.6256857436480847),TrimAction:Delete",Normal
10CB001,Drift,QR,2023-07-29T22:40:00,2023-08-02T19:05:00,2023-11-16T17:31:22,-8,OC - DRIFT COPIED DATA,"DriftPoints:(Offset:0,Time:2023-07-29T22:40:00Z);(Offset:6.3,Time:2023-08-02T19:05:00Z)",Normal
10CB001,CopyPaste,QR,2023-07-29T22:40:00,2023-08-02T19:05:00,2023-09-29T15:27:12,-8,"OC - COPY & PASTE DATA FROM 07EA004Override: Copy & Paste‌Source Data Set: Discharge.Working@07EA004, time shift: 00:00 minutes.‌",,PreProcessing
10CB001,Offset,HG,2023-07-29T20:55:00,2023-08-02T19:00:00,2023-07-31T18:14:04,-8,SRC - PROJECTED (to logger failure),Offset:0.005,Normal
10CB001,Drift,HG,2023-07-29T18:25:00,2023-07-29T20:50:00,2023-07-31T18:13:32,-8,SRC - INTRAVISIT,"DriftPoints:(Offset:0,Time:2023-07-29T18:25:00Z);(Offset:0.005,Time:2023-07-29T20:50:00Z)",Normal
10CB001,DeleteRegion,HG,2023-07-25T14:45:00,2023-07-25T14:45:00,2023-07-31T18:14:58,-8,RFT - spike,,Normal
10CB001,DeleteRegion,HG,2023-07-21T22:15:00,2023-07-21T22:20:00,2023-07-31T18:15:48,-8,RFT - spike,,Normal
