date,STATION_NUMBER,water_level_m,quality_symbol
2002-05-01,10HB005,,
2002-06-01,10HB005,3.13100004196167,
2002-07-01,10HB005,3.625,E
2002-08-01,10HB005,,
2002-09-01,10HB005,3.4560000896453857,
2002-10-01,10HB005,2.739000082015991,
2002-11-01,10HB005,2.4749999046325684,B
2003-05-01,10HB005,,
2003-06-01,10HB005,3.115999937057495,
2003-07-01,10HB005,2.9600000381469727,
2003-08-01,10HB005,2.8359999656677246,
2003-09-01,10HB005,2.75600004196167,
2003-10-01,10HB005,2.5929999351501465,
2004-05-01,10HB005,,
2004-06-01,10HB005,3.1679999828338623,
2004-07-01,10HB005,2.73799991607666,
2004-08-01,10HB005,2.882999897003174,
2004-09-01,10HB005,2.650000095367432,
2004-10-01,10HB005,2.3469998836517334,
2005-05-01,10HB005,,
2005-06-01,10HB005,3.569999933242798,
2005-07-01,10HB005,2.880000114440918,
2005-08-01,10HB005,2.996999979019165,
2005-09-01,10HB005,2.812000036239624,
2005-10-01,10HB005,2.635999917984009,
2006-05-01,10HB005,,
2006-06-01,10HB005,2.9189999103546143,
2006-07-01,10HB005,2.763999938964844,
2006-08-01,10HB005,2.694000005722046,
2006-09-01,10HB005,2.930000066757202,
2006-10-01,10HB005,2.5829999446868896,A
2006-11-01,10HB005,2.094000101089477,
2007-05-01,10HB005,,
2007-06-01,10HB005,2.838000059127808,
2007-07-01,10HB005,2.986000061035156,
2007-08-01,10HB005,2.9579999446868896,
2007-09-01,10HB005,2.4200000762939453,
2007-10-01,10HB005,2.2079999446868896,
2008-05-01,10HB005,,
2008-06-01,10HB005,2.572999954223633,
2008-07-01,10HB005,2.8989999294281006,
2008-08-01,10HB005,2.680000066757202,
2008-09-01,10HB005,3.119999885559082,A
2008-10-01,10HB005,2.572000026702881,A
2009-05-01,10HB005,,
2009-06-01,10HB005,2.611999988555908,
2009-07-01,10HB005,3.74399995803833,
2009-08-01,10HB005,2.776000022888184,
2009-09-01,10HB005,2.6549999713897705,
2009-10-01,10HB005,2.3399999141693115,A
2009-11-01,10HB005,2.052000045776367,
2010-05-01,10HB005,,
2010-06-01,10HB005,2.755000114440918,
2010-07-01,10HB005,3.930999994277954,
2010-08-01,10HB005,3.108999967575073,
2010-09-01,10HB005,3.075000047683716,A
2010-10-01,10HB005,2.470999956130981,A
2011-05-01,10HB005,,
2011-06-01,10HB005,3.4800000190734863,
2011-07-01,10HB005,,
2011-08-01,10HB005,3.444000005722046,E
2011-09-01,10HB005,2.9660000801086426,E
2011-10-01,10HB005,2.608999967575073,
2011-11-01,10HB005,2.2739999294281006,
2011-12-01,10HB005,3.450999975204468,
2012-01-01,10HB005,2.914999961853028,
2012-02-01,10HB005,2.657999992370605,
2012-03-01,10HB005,2.635999917984009,
2012-06-01,10HB005,3.2939999103546143,A
2012-07-01,10HB005,3.739000082015991,
2012-08-01,10HB005,2.989000082015991,
2012-09-01,10HB005,2.86899995803833,
2012-10-01,10HB005,2.640000104904175,A
2012-11-01,10HB005,2.2739999294281006,A
2013-01-01,10HB005,3.0199999809265137,
2013-02-01,10HB005,3.0429999828338623,A
2013-03-01,10HB005,2.746000051498413,A
2013-04-01,10HB005,2.252000093460083,
2013-05-01,10HB005,2.24399995803833,
2013-06-01,10HB005,3.375,
2013-07-01,10HB005,3.127000093460083,
2013-08-01,10HB005,2.7850000858306885,
2013-09-01,10HB005,2.8529999256134038,
2013-10-01,10HB005,2.565999984741211,
2014-05-01,10HB005,,
2014-06-01,10HB005,3.0239999294281006,
2014-07-01,10HB005,2.8959999084472656,
2014-08-01,10HB005,3.5369999408721924,
2014-09-01,10HB005,2.6080000400543213,
2014-10-01,10HB005,2.253000020980835,
2015-05-01,10HB005,,
2015-06-01,10HB005,2.6989998817443848,
2015-07-01,10HB005,2.7179999351501465,
2015-08-01,10HB005,3.821000099182129,
2015-09-01,10HB005,3.2950000762939453,
2015-10-01,10HB005,2.993000030517578,
2016-05-01,10HB005,,
2016-06-01,10HB005,2.4049999713897705,
2016-07-01,10HB005,,
2016-08-01,10HB005,2.9230000972747803,
2016-09-01,10HB005,2.742000102996826,
2016-10-01,10HB005,2.4130001068115234,
2017-07-01,10HB005,,
2017-08-01,10HB005,3.572000026702881,
2017-09-01,10HB005,3.0199999809265137,
2017-10-01,10HB005,2.678999900817871,
2018-05-01,10HB005,,
2018-06-01,10HB005,2.683000087738037,
2018-07-01,10HB005,3.796000003814697,
2018-08-01,10HB005,2.815000057220459,
2018-09-01,10HB005,3.0810000896453857,A
2018-10-01,10HB005,2.657999992370605,
2019-06-01,10HB005,,
2019-07-01,10HB005,3.1989998817443848,
2019-08-01,10HB005,3.328000068664551,
2019-09-01,10HB005,3.1029999256134038,
2020-08-01,10HB005,,
2020-09-01,10HB005,3.2860000133514404,
2020-10-01,10HB005,2.819000005722046,
2021-05-01,10HB005,,
2021-06-01,10HB005,,
2022-05-01,10HB005,,
2022-07-01,10HB005,,
2022-08-01,10HB005,2.7039999961853027,
2022-09-01,10HB005,2.553999900817871,
2022-10-01,10HB005,2.24399995803833,
2023-10-01,10HB005,,
2023-11-01,10HB005,2.0390000343322754,
2024-05-01,10HB005,,
2024-06-01,10HB005,,
2024-07-01,10HB005,2.9760000705718994,
2024-08-01,10HB005,2.765000104904175,
2024-09-01,10HB005,2.4739999771118164,
2024-10-01,10HB005,2.243000030517578,
2002-05-02,10HB005,,
2002-06-02,10HB005,3.1059999465942383,
2002-07-02,10HB005,3.575000047683716,E
2002-08-02,10HB005,,
2002-09-02,10HB005,3.558000087738037,
2002-10-02,10HB005,2.7330000400543213,
2002-11-02,10HB005,,
2003-05-02,10HB005,,
2003-06-02,10HB005,3.2880001068115234,
2003-07-02,10HB005,2.969000101089477,
2003-08-02,10HB005,2.8410000801086426,
2003-09-02,10HB005,2.746999979019165,
2003-10-02,10HB005,2.740000009536743,A
2004-05-02,10HB005,,
2004-06-02,10HB005,3.0910000801086426,
2004-07-02,10HB005,2.7149999141693115,
2004-08-02,10HB005,2.828000068664551,
2004-09-02,10HB005,2.635999917984009,
2004-10-02,10HB005,2.3469998836517334,
2005-05-02,10HB005,,
2005-06-02,10HB005,3.7160000801086426,
2005-07-02,10HB005,2.98799991607666,
2005-08-02,10HB005,2.936000108718872,
2005-09-02,10HB005,2.7890000343322754,
2005-10-02,10HB005,2.6040000915527344,
2006-05-02,10HB005,,
2006-06-02,10HB005,2.963000059127808,
2006-07-02,10HB005,2.937999963760376,
2006-08-02,10HB005,2.678999900817871,
