STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10JA002,H,2002,H,8.0,1,1,8.0,20.0,MST,3.2809998989105225, ,Maximum
10JA002,H,2002,L,8.0,5,13,5.0,50.0,MST,2.825999975204468, ,Minimum
10JA002,H,2003,H,8.0,9,9,7.0,30.0,MST,3.252000093460083, ,Maximum
10JA002,H,2003,L,8.0,5,4,8.0,25.0,MST,2.819999933242798, ,Minimum
10JA002,H,2004,H,8.0,7,28,19.0,45.0,MST,3.375, ,Maximum
10JA002,H,2004,L,8.0,5,25,5.0,40.0,MST,2.8320000171661377, ,Minimum
10JA002,H,2005,H,8.0,7,13,9.0,5.0,MST,3.257999897003174,,Maximum
10JA002,H,2005,L,8.0,5,14,6.0,15.0,MST,2.8289999961853027,,Minimum
10JA002,H,2006,H,8.0,7,23,6.0,45.0,MST,3.740000009536743,,Maximum
10JA002,H,2006,L,8.0,4,28,12.0,30.0,MST,2.775000095367432,,Minimum
10JA002,H,2008,H,8.0,12,16,0.0,15.0,MST,3.4820001125335693,,Maximum
10JA002,H,2008,L,8.0,5,4,4.0,10.0,MST,2.5920000076293945,,Minimum
10JA002,H,2009,H,8.0,7,24,2.0,45.0,MST,3.565000057220459,,Maximum
10JA002,H,2009,L,8.0,5,23,15.0,15.0,MST,3.0409998893737797,,Minimum
10JA002,H,2010,H,8.0,12,26,12.0,20.0,MST,3.3489999771118164,,Maximum
10JA002,H,2010,L,8.0,4,20,22.0,40.0,MST,2.875,,Minimum
10JA002,H,2011,H,8.0,6,19,10.0,40.0,MST,3.01200008392334, ,Maximum
10JA002,H,2011,L,8.0,6,19,10.0,40.0,MST,3.380000114440918, ,Minimum
10JA002,H,2012,H,8.0,9,27,22.0,50.0,MST,3.79800009727478, ,Maximum
10JA002,H,2012,L,8.0,5,4,14.0,25.0,MST,2.950000047683716, ,Minimum
10JA002,H,2013,H,8.0,1,1,10.0,20.0,MST,3.562999963760376, ,Maximum
10JA002,H,2013,L,8.0,12,31,10.0,55.0,MST,2.8310000896453857, ,Minimum
10JA002,H,2014,H,8.0,1,1,11.0,30.0,MST,2.8540000915527344, ,Maximum
10JA002,H,2014,L,8.0,9,29,14.0,45.0,MST,2.568000078201294, ,Minimum
10JA002,H,2015,H,8.0,12,15,15.0,30.0,MST,3.0989999771118164, ,Maximum
10JA002,H,2015,L,8.0,4,29,7.0,25.0,MST,2.4739999771118164, ,Minimum
10JA002,H,2016,H,8.0,7,2,15.0,40.0,MST,3.736000061035156, ,Maximum
10JA002,H,2016,L,8.0,4,18,21.0,25.0,MST,2.8580000400543213, ,Minimum
10JA002,H,2017,H,8.0,7,12,7.0,55.0,MST,3.3010001182556152, ,Maximum
10JA002,H,2017,L,8.0,5,6,20.0,5.0,MST,2.6710000038146973, ,Minimum
10JA002,H,2018,H,8.0,10,13,3.0,40.0,MST,3.5969998836517334, ,Maximum
10JA002,H,2018,L,8.0,5,11,21.0,20.0,MST,2.755000114440918, ,Minimum
10JA002,H,2019,H,8.0,7,21,9.0,5.0,MST,3.5480000972747803, ,Maximum
10JA002,H,2019,L,8.0,5,11,16.0,20.0,MST,3.013999938964844, ,Minimum
10JA002,H,2020,H,8.0,8,25,0.0,5.0,MST,3.265000104904175, ,Maximum
10JA002,H,2020,L,8.0,5,22,8.0,45.0,MST,2.7860000133514404, ,Minimum
10JA002,H,2021,H,8.0,7,9,13.0,50.0,MST,3.311000108718872, ,Maximum
10JA002,H,2021,L,8.0,5,5,9.0,40.0,MST,2.7920000553131104, ,Minimum
10JA002,H,2022,H,8.0,1,1,0.0,15.0,MST,2.947000026702881, ,Maximum
10JA002,H,2022,L,8.0,12,26,23.0,0.0,MST,2.5799999237060547, ,Minimum
10JA002,H,2023,H,8.0,7,9,10.0,55.0,MST,2.875, ,Maximum
10JA002,H,2023,L,8.0,4,30,10.0,35.0,MST,2.470000028610229, ,Minimum
10JA002,Q,1972,H,,7,10,,,,134.0,,Maximum
10JA002,Q,1973,H,,6,23,14.0,15.0,,114.0,,Maximum
10JA002,Q,1978,H,,7,9,13.0,10.0,MST,74.5,,Maximum
10JA002,Q,1979,H,,7,5,15.0,25.0,MST,93.5,,Maximum
10JA002,Q,1980,H,,7,9,3.0,25.0,MST,136.0,,Maximum
10JA002,Q,1983,H,,10,31,19.0,10.0,MST,161.0,,Maximum
10JA002,Q,1984,H,,9,26,4.0,33.0,MST,229.0,,Maximum
10JA002,Q,1985,H,,1,1,0.0,0.0,MST,168.0,,Maximum
10JA002,Q,1987,H,,7,17,19.0,8.0,MST,133.0,,Maximum
10JA002,Q,1988,H,,10,21,8.0,45.0,MST,117.0,,Maximum
10JA002,Q,1989,H,,7,15,21.0,0.0,MST,136.0,,Maximum
10JA002,Q,1990,H,,7,10,17.0,0.0,MST,110.0,,Maximum
10JA002,Q,1991,H,,7,24,17.0,36.0,MST,190.0,,Maximum
10JA002,Q,1992,H,,7,24,12.0,14.0,MST,186.0,,Maximum
10JA002,Q,1993,H,,8,15,14.0,19.0,MST,171.0,,Maximum
10JA002,Q,1994,H,,1,1,0.0,1.0,MST,133.0,,Maximum
10JA002,Q,1995,H,,7,7,5.0,30.0,MST,72.5999984741211,,Maximum
10JA002,Q,1996,H,,9,25,23.0,40.0,MST,112.0,,Maximum
10JA002,Q,1997,H,,7,27,17.0,25.0,MST,164.0,,Maximum
10JA002,Q,1998,H,,1,1,12.0,5.0,MST,123.0,,Maximum
10JA002,Q,1999,H,,8,18,15.0,5.0,MST,169.0, ,Maximum
10JA002,Q,1999,L,,5,7,1.0,5.0,MST,79.69999694824219, ,Minimum
10JA002,Q,2000,H,,1,1,12.0,40.0,MST,149.0, ,Maximum
10JA002,Q,2000,L,,12,31,23.0,59.0,MST,94.8000030517578,A,Minimum
10JA002,Q,2001,H,,7,26,18.0,55.0,MST,228.0, ,Maximum
10JA002,Q,2001,L,,5,9,13.0,50.0,MST,69.69999694824219, ,Minimum
10JA002,Q,2002,H,,1,1,8.0,20.0,MST,145.0, ,Maximum
10JA002,Q,2002,L,,5,13,5.0,50.0,MST,84.0999984741211, ,Minimum
10JA002,Q,2003,H,,9,9,7.0,30.0,MST,141.0, ,Maximum
10JA002,Q,2003,L,,5,4,8.0,25.0,MST,83.4000015258789, ,Minimum
10JA002,Q,2004,H,,7,28,19.0,45.0,MST,160.0, ,Maximum
