Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
10JA002,2023-10-09T20:30:00,-7,Stage/Niveau d'eau,2.706,,,,,,,,,HG: 2.697 HG2: 2.612 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
10JA002,2023-07-03T18:30:00,-7,Stage/Niveau d'eau,2.817,,,,,,,,,HG: 2.790 HG2: 2.651 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
10JA002,2023-07-03T17:08:00,-7,Discharge/Débit,,2.82,77.2,5.0,-0.0691,-0.090100005,-0.0235,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Blowing Downstream",Open water conditions,"Tech to Tech Tethered boat measurement approx 850 m D/S of gauge at narrows. @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",40.5,70.5,1.1,22.3,17.2,Provisional/Provisoire,5.9
10JA002,2023-04-12T17:30:00,-7,Stage/Niveau d'eau,2.496,,,,,,,,,HG: 2.510 HG2: 2.494,,,,,,Provisional/Provisoire,
10JA002,2022-06-21T17:04:30,-7,Discharge/Débit,,2.84,82.6,5.0,-0.04,-0.051799998,0.0146,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",Open water conditions,"Measured down stream of waterfalls at first constriction. 2.295 new offset June 20th. 2.317 other hg offset., HG2 offset 1.949.  No 8:40 HG as the measurement command was entered incorrectly after changing the programming. Consider applying -0.006mm src to data to match the DWL. ADCP by Moving Boat",46.5,82.4,1.0,,,Final/Finales,4.0
10JA002,2022-06-21T15:45:00,-7,Stage/Niveau d'eau,2.841,,,,,,,,,No Reset (NR),,,,,,Final/Finales,
10JA002,2022-06-20T23:50:00,-7,Stage/Niveau d'eau,2.846,,,,,,,,,,,,,,,Final/Finales,
10JA002,2022-04-26T19:55:00,-7,Stage/Niveau d'eau,2.719,,,,,,,,,HG: 2.671 Reset (RS),,,,,,Final/Finales,
10JA002,2021-09-14T20:05:00,-7,Stage/Niveau d'eau,3.145,,,,,,,,,HG: 2.949 SRC: 0.196 Reset (RS),,,,,,Final/Finales,
10JA002,2021-03-04T18:05:00,-7,Stage/Niveau d'eau,2.931,,,,,,,,,HG: 2.902 SRC: 0.029,,,,,,Final/Finales,
10JA002,2020-10-01T16:30:00,-7,Stage/Niveau d'eau,3.191,,,,,,,,,HG: 3.199 SRC: -0.008 Found (FD),,,,,,Final/Finales,
10JA002,2019-08-27T17:10:00,-7,Stage/Niveau d'eau,3.48,,,,,,,,,Source:Manual Sensor Reset Correction of 0.004,,,,,,Final/Finales,
10JA002,2019-04-17T17:25:00,-7,Stage/Niveau d'eau,3.065,,,,,,,,,Source:Manual Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2018-09-08T17:35:00,-7,Stage/Niveau d'eau,3.565,,,,,,,,,Source:Manual Sensor Reset Correction of -0.003,,,,,,Final/Finales,
10JA002,2018-04-10T18:20:00,-7,Stage/Niveau d'eau,2.821,,,,,,,,,Source:Manual Sensor Reset Correction of -0.023,,,,,,Final/Finales,
10JA002,2017-09-11T22:10:00,-7,Stage/Niveau d'eau,3.23,,,,,,,,,Source:Manual Sensor Reset Correction of -0.034,,,,,,Final/Finales,
10JA002,2017-07-05T16:50:00,-7,Stage/Niveau d'eau,3.254,,,,,,,,,Source:Manual Sensor Reset Correction of 0.016,,,,,,Final/Finales,
10JA002,2016-08-25T17:35:00,-7,Stage/Niveau d'eau,3.516,,,,,,,,,Source:Manual Sensor Reset Correction of 0.042,,,,,,Final/Finales,
10JA002,2016-04-04T17:00:00,-7,Stage/Niveau d'eau,2.915,,,,,,,,,Source:Manual Sensor Reset Correction of 0.009,,,,,,Final/Finales,
10JA002,2015-09-03T17:10:00,-7,Stage/Niveau d'eau,2.936,,,,,,,,,Source:Manual Sensor Reset Correction of -0.040,,,,,,Final/Finales,
10JA002,2015-06-09T16:40:00,-7,Stage/Niveau d'eau,2.838,,,,,,,,,Source:Manual Sensor Reset Correction of -0.025,,,,,,Final/Finales,
10JA002,2014-09-07T23:05:00,-7,Stage/Niveau d'eau,2.632,,,,,,,,,Source:Manual Sensor Reset Correction of 0.085,,,,,,Provisional/Provisoire,
10JA002,2014-01-29T20:00:00,-7,Stage/Niveau d'eau,2.799,,,,,,,,,Source:Manual Sensor Reset Correction of -0.067,,,,,,Provisional/Provisoire,
10JA002,2013-08-16T01:00:00,-7,Stage/Niveau d'eau,3.164,,,,,,,,,Source:Manual Sensor Reset Correction of 0.272,,,,,,Provisional/Provisoire,
10JA002,2013-03-01T21:00:00,-7,Stage/Niveau d'eau,3.309,,,,,,,,,Source:Manual Sensor Reset Correction of 0.006,,,,,,Provisional/Provisoire,
10JA002,2012-09-29T23:55:00,-7,Stage/Niveau d'eau,3.78,,,,,,,,,Source:Manual Sensor Reset Correction of 0.031,,,,,,Provisional/Provisoire,
10JA002,2012-09-29T22:53:00,-7,Discharge/Débit,,3.777,225.0,,,,,,,Sources:Manual,,,0.636,10.0,9.9,Provisional/Provisoire,
10JA002,2012-09-17T18:49:30,-7,Discharge/Débit,,3.741,211.0,,,,,,,Significant d/s wind could affect mmnt. Approx. 700m below gauge at narrows. Some (minimal) flow throgh willows due to high water conditions. Sources:Manual,,,0.855,,10.9,Provisional/Provisoire,
10JA002,2012-09-14T17:10:00,-7,Stage/Niveau d'eau,3.723,,,,,,,,,Source:Manual Sensor Reset Correction of 0.021,,,,,,Provisional/Provisoire,
10JA002,2012-02-07T18:25:00,-7,Stage/Niveau d'eau,3.121,,,,,,,,,Source:Manual Sensor Reset Correction of 0.005,,,,,,Provisional/Provisoire,
10JA002,2011-08-14T23:35:00,-7,Stage/Niveau d'eau,3.232,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2011-03-10T23:43:00,-7,Stage/Niveau d'eau,3.195,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2010-08-09T23:33:00,-7,Stage/Niveau d'eau,3.026,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2010-02-03T19:47:00,-7,Stage/Niveau d'eau,3.096,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2009-09-24T18:45:00,-7,Stage/Niveau d'eau,3.382,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2009-09-03T23:45:00,-7,Stage/Niveau d'eau,3.473,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2009-01-31T20:23:00,-7,Stage/Niveau d'eau,3.368,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2008-07-17T15:00:00,-7,Stage/Niveau d'eau,2.847,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2008-02-28T21:44:00,-7,Stage/Niveau d'eau,2.707,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2007-08-31T21:10:00,-7,Stage/Niveau d'eau,2.976,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2007-07-24T20:40:00,-7,Stage/Niveau d'eau,3.085,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2007-02-06T19:15:00,-7,Stage/Niveau d'eau,3.065,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2006-07-06T18:29:30,-7,Discharge/Débit,,3.693,208.0,,,,,,,Ran the two transects through QREV 4.26.  Changed total q by -5cms.  Figured by mmnt location and velocity profiles that extrap would change this mmnt more than the others and that was true.  Mmnt does not meet QA/QC and is only used as a guide for the top end of the curve.  3 other mmnt's with more robust data quality.  (L Nixon 2023-11-29),192.0,934.0,0.228,6.7,13.7,Provisional/Provisoire,
10JA002,2006-07-06T18:29:00,-7,Stage/Niveau d'eau,3.693,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2006-02-16T20:42:00,-7,Stage/Niveau d'eau,2.905,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2005-08-23T15:10:00,-7,Stage/Niveau d'eau,3.158,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2005-02-17T19:15:00,-7,Stage/Niveau d'eau,3.014,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2004-09-01T22:19:00,-7,Stage/Niveau d'eau,3.303,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2004-02-27T19:45:00,-7,Stage/Niveau d'eau,3.03,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2003-08-28T00:03:00,-7,Stage/Niveau d'eau,3.23,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2003-02-21T20:15:00,-7,Stage/Niveau d'eau,2.951,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2002-08-29T15:49:00,-7,Stage/Niveau d'eau,3.145,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2002-02-21T22:25:00,-7,Stage/Niveau d'eau,3.079,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2001-07-24T01:45:00,-7,Stage/Niveau d'eau,3.732,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2001-07-24T01:45:00,-7,Discharge/Débit,,3.732,221.0,,,,,,,,112.0,331.0,,26.0,19.0,Final/Finales,
10JA002,2001-04-05T19:30:00,-7,Stage/Niveau d'eau,2.748,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,2000-08-28T18:55:00,-7,Stage/Niveau d'eau,3.052,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,2000-02-09T20:39:00,-7,Stage/Niveau d'eau,3.191,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1999-09-01T18:00:00,-7,Stage/Niveau d'eau,3.411,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1999-06-08T22:42:00,-7,Stage/Niveau d'eau,3.157,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1998-09-03T22:30:00,-7,Stage/Niveau d'eau,2.957,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1998-05-05T20:33:00,-7,Stage/Niveau d'eau,2.889,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1997-09-05T03:14:00,-7,Stage/Niveau d'eau,3.332,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1997-05-02T21:35:00,-7,Stage/Niveau d'eau,2.874,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1996-09-30T22:10:00,-7,Stage/Niveau d'eau,3.005,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1996-09-04T15:50:00,-7,Stage/Niveau d'eau,2.97,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1996-05-08T17:21:30,-7,Discharge/Débit,,2.376,44.0,,,,,,,,32.0,46.9,0.937,-4.0,1.5,Final/Finales,
10JA002,1996-05-08T17:20:00,-7,Stage/Niveau d'eau,2.376,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1996-02-15T19:12:00,-7,Stage/Niveau d'eau,2.468,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1995-11-02T23:10:00,-7,Stage/Niveau d'eau,2.556,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1995-06-12T23:01:00,-7,Stage/Niveau d'eau,2.65,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1995-05-04T16:31:00,-7,Stage/Niveau d'eau,2.482,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1995-01-27T19:40:00,-7,Stage/Niveau d'eau,2.643,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1983-09-09T07:00:00,-7,Discharge/Débit,,3.291,147.0,,,,,,,,,,,,,Final/Finales,
10JA002,1983-09-09T07:00:00,-7,Stage/Niveau d'eau,3.291,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1976-08-11T07:00:00,-7,Discharge/Débit,,2.661,72.8,,,,,,,,,,,,,Final/Finales,
10JA002,1976-08-11T07:00:00,-7,Stage/Niveau d'eau,2.661,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1975-08-04T07:00:00,-7,Discharge/Débit,,3.31,144.0,,,,,,,,,,,,,Final/Finales,
10JA002,1975-08-04T07:00:00,-7,Stage/Niveau d'eau,3.31,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1975-06-24T07:00:00,-7,Discharge/Débit,,3.408,170.0,,,,,,,,,,,,,Final/Finales,
10JA002,1975-06-24T07:00:00,-7,Stage/Niveau d'eau,3.408,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1973-06-08T07:00:00,-7,Stage/Niveau d'eau,3.039,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1973-06-08T07:00:00,-7,Discharge/Débit,,3.039,113.0,,,,,,,,,,,,,Final/Finales,
10JA002,1972-09-07T07:00:00,-7,Stage/Niveau d'eau,3.146,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1972-09-07T07:00:00,-7,Discharge/Débit,,3.146,120.0,,,,,,,,,,,,,Final/Finales,
10JA002,1972-08-24T07:00:00,-7,Discharge/Débit,,3.17,131.0,,,,,,,,,,,,,Final/Finales,
10JA002,1972-08-24T07:00:00,-7,Stage/Niveau d'eau,3.17,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1972-07-06T07:00:00,-7,Stage/Niveau d'eau,3.21,,,,,,,,,Reference point and method not documented.,,,,,,Provisional/Provisoire,
10JA002,1972-07-06T07:00:00,-7,Discharge/Débit,,3.21,136.0,,,,,,,,,,,,,Provisional/Provisoire,
10JA002,1971-09-15T07:00:00,-7,Discharge/Débit,,3.267,141.0,,,,,,,,,,,,,Final/Finales,
10JA002,1971-09-15T07:00:00,-7,Stage/Niveau d'eau,3.267,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1971-07-27T07:00:00,-7,Stage/Niveau d'eau,3.472,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1971-07-27T07:00:00,-7,Discharge/Débit,,3.472,176.0,,,,,,,,,,,,,Final/Finales,
10JA002,1971-06-18T07:00:00,-7,Discharge/Débit,,3.42,174.0,,,,,,,,,,,,,Final/Finales,
10JA002,1971-06-18T07:00:00,-7,Stage/Niveau d'eau,3.42,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1969-09-25T07:00:00,-7,Stage/Niveau d'eau,3.021,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1969-09-25T07:00:00,-7,Discharge/Débit,,3.021,107.0,,,,,,,,,,,,,Final/Finales,
10JA002,1969-06-08T07:00:00,-7,Discharge/Débit,,2.737,75.6,,,,,,,,,,,,,Final/Finales,
10JA002,1969-06-08T07:00:00,-7,Stage/Niveau d'eau,2.737,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1969-03-11T07:00:00,-7,Stage/Niveau d'eau,2.621,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1969-03-11T07:00:00,-7,Discharge/Débit,,2.621,64.3,,,,,,,,,,,,,Final/Finales,
10JA002,1969-01-29T07:00:00,-7,Stage/Niveau d'eau,2.713,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1969-01-29T07:00:00,-7,Discharge/Débit,,2.713,67.7,,,,,,,,,,,,,Final/Finales,
10JA002,1968-10-01T07:00:00,-7,Stage/Niveau d'eau,2.874,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1968-10-01T07:00:00,-7,Discharge/Débit,,2.874,86.7,,,,,,,,,,,,,Final/Finales,
10JA002,1968-07-17T07:00:00,-7,Stage/Niveau d'eau,3.048,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1968-07-17T07:00:00,-7,Discharge/Débit,,3.048,116.0,,,,,,,,,,,,,Final/Finales,
10JA002,1968-06-18T07:00:00,-7,Stage/Niveau d'eau,2.95,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1968-06-18T07:00:00,-7,Discharge/Débit,,2.95,96.6,,,,,,,,,,,,,Final/Finales,
10JA002,1968-03-11T07:00:00,-7,Stage/Niveau d'eau,2.859,,,,,,,,,Reference point and method not documented.,,,,,,Final/Finales,
10JA002,1968-03-11T07:00:00,-7,Discharge/Débit,,2.859,93.4,,,,,,,,,,,,,Final/Finales,
