STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10KB001,H,2002,H,8.0,7,29,15,0,MST,8.914999961853027, ,Maximum
10KB001,H,2006,H,8.0,5,8,19,45,MST,5.684999942779541,A,Maximum
10KB001,H,2007,H,8.0,5,29,14,30,MST,5.705999851226807,,Maximum
10KB001,H,2008,H,8.0,7,10,9,45,MST,8.513999938964844,A,Maximum
10KB001,H,2010,H,8.0,7,25,10,30,MST,7.379000186920166,,Maximum
10KB001,H,2010,L,8.0,10,18,12,30,MST,3.869999885559082,,Minimum
10KB001,H,2011,H,8.0,5,23,12,0,MST,8.675999641418457,E,Maximum
10KB001,H,2011,L,8.0,12,26,22,55,MST,3.671000003814697, ,Minimum
10KB001,H,2012,H,8.0,5,29,15,10,MST,6.877999782562256, ,Maximum
10KB001,H,2012,L,8.0,1,19,3,30,MST,3.678999900817871, ,Minimum
10KB001,H,2013,H,8.0,5,18,10,0,MST,7.239999771118164, ,Maximum
10KB001,H,2013,L,8.0,11,6,20,45,MST,3.563999891281128, ,Minimum
10KB001,H,2014,H,8.0,5,8,20,5,MST,5.76200008392334,B,Maximum
10KB001,H,2016,H,8.0,5,1,19,25,MST,7.961999893188477, ,Maximum
10KB001,H,2016,L,8.0,10,18,3,15,MST,3.927999973297119, ,Minimum
10KB001,H,2018,H,8.0,5,9,18,25,MST,7.818999767303467, ,Maximum
10KB001,H,2018,L,8.0,10,22,7,55,MST,3.8980000019073486, ,Minimum
10KB001,H,2019,H,8.0,5,10,2,35,MST,8.008000373840332, ,Maximum
10KB001,H,2021,H,8.0,6,13,6,5,MST,6.7170000076293945, ,Maximum
10KB001,H,2022,H,8.0,6,13,8,30,MST,7.590000152587891, ,Maximum
10KB001,H,2024,H,8.0,5,7,22,5,MST,7.037000179290772, ,Maximum
10KB001,H,2024,L,8.0,6,18,20,0,MST,3.813999891281128, ,Minimum
10KB001,Q,1978,H,,6,9,4,10,MST,852.0,,Maximum
10KB001,Q,1979,H,,7,4,17,20,MST,959.0,,Maximum
10KB001,Q,1980,H,,8,16,2,15,MST,1360.0,E,Maximum
10KB001,Q,1981,H,,6,25,0,22,MST,558.0,,Maximum
10KB001,Q,1983,H,,6,1,14,23,MST,1280.0,E,Maximum
10KB001,Q,1984,H,,6,29,1,11,MST,1830.0,,Maximum
10KB001,Q,1985,H,,6,2,13,25,MST,736.0,,Maximum
10KB001,Q,1986,H,,8,14,18,50,MST,1650.0,E,Maximum
10KB001,Q,1987,H,,5,25,0,20,MST,543.0,,Maximum
10KB001,Q,1988,H,,7,1,17,53,MST,1460.0,,Maximum
10KB001,Q,1989,H,,6,16,10,21,MST,1170.0,,Maximum
10KB001,Q,1990,H,,6,25,20,17,MST,2520.0,,Maximum
10KB001,Q,1991,H,,7,28,10,50,MST,1010.0,,Maximum
10KB001,Q,1993,H,,5,16,5,4,MST,446.0,,Maximum
10KB001,Q,1994,H,,5,27,11,33,MST,650.0,,Maximum
10KB001,Q,2000,H,,7,30,7,15,MST,1880.0, ,Maximum
10KB001,Q,2001,H,,8,7,5,0,MST,534.0, ,Maximum
10KB001,Q,2002,H,,7,29,15,0,MST,1910.0, ,Maximum
10KB001,Q,2004,H,,5,19,23,45,MST,620.0,A,Maximum
10KB001,Q,2006,H,,5,14,14,45,MST,357.0, ,Maximum
10KB001,Q,2007,H,,5,29,14,30,MST,387.0, ,Maximum
10KB001,Q,2008,H,,7,10,9,45,MST,1670.0,A,Maximum
10KB001,Q,2009,H,,7,3,10,15,MST,1050.0, ,Maximum
10KB001,Q,2010,H,,7,25,10,30,MST,1050.0, ,Maximum
10KB001,Q,2012,H,,5,29,15,10,MST,809.0, ,Maximum
10KB001,Q,2013,H,,5,27,13,30,MST,625.0, ,Maximum
10KB001,Q,2014,H,,5,8,20,5,MST,402.0,B,Maximum
10KB001,Q,2016,H,,5,4,23,35,MST,614.0, ,Maximum
10KB001,Q,2018,H,,5,13,1,30,MST,650.0, ,Maximum
10KB001,Q,2018,L,,4,23,1,35,MST,11.100000381469728,B,Minimum
10KB001,Q,2019,H,,5,13,0,25,MST,432.0, ,Maximum
10KB001,Q,2021,H,,6,13,6,5,MST,797.0, ,Maximum
10KB001,Q,2022,H,,6,13,8,30,MST,1200.0, ,Maximum
10KB001,Q,2023,H,,5,12,16,0,MST,535.0, ,Maximum
10KB001,Q,2024,H,,7,9,4,5,MST,341.0, ,Maximum
