Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
10LB005,AdjustableTrim,HG,2023-12-15T23:15:00,2024-01-03T22:30:00,2024-01-15T18:40:19,-7,Trimming off negative spikes,"LowerThresholdPoints:(Time:2023-12-15T23:15:00Z,Value:7.6886898842181);(Time:2023-12-17T22:32:55.715Z,Value:7.813422447095909);(Time:2023-12-22T02:26:24.652Z,Value:7.82098199636123);(Time:2024-01-03T22:30:00Z,Value:7.6886898842181),TrimAction:Delete",Normal
10LB005,DeleteRegion,HG,2023-12-06T19:20:00,2023-12-06T19:20:00,2023-12-08T21:16:35,-7,DR: spike during visit,,Normal
10LB005,AdjustableTrim,HG,2023-11-21T21:35:00,2023-11-23T00:40:00,2023-12-04T16:55:47,-7,,"LowerThresholdPoints:(Time:2023-11-21T21:35:00Z,Value:7.463085787379251);(Time:2023-11-23T00:40:00Z,Value:7.463085787379251),TrimAction:Delete",Normal
10LB005,AdjustableTrim,HG,2023-10-20T20:05:00,2023-10-22T04:20:00,2023-11-03T15:17:19,-7,trimming off positive spike,"UpperThresholdPoints:(Time:2023-10-20T20:05:00Z,Value:7.633905237847887);(Time:2023-10-22T04:20:00Z,Value:7.819635543073465),TrimAction:Delete",Normal
10LB005,AdjustableTrim,HG,2023-10-20T05:15:00,2023-10-21T22:00:00,2023-11-08T22:42:07,-7,deleteing positive data spikes,"UpperThresholdPoints:(Time:2023-10-20T05:15:00Z,Value:7.551929895337151);(Time:2023-10-21T00:36:26.286Z,Value:7.565214092497091);(Time:2023-10-21T04:02:46.212Z,Value:7.5881595239551665);(Time:2023-10-21T07:14:05.78Z,Value:7.6183508811368466);(Time:2023-10-21T14:48:01.617Z,Value:7.683564212649275);(Time:2023-10-21T22:00:00Z,Value:7.7210014955545585),TrimAction:Delete",Normal
10LB005,AdjustableTrim,HG,2023-10-10T19:05:00,2023-10-20T04:25:00,2023-10-20T19:38:25,-7,"removing positive spike, suspected slushing of orifice tip","UpperThresholdPoints:(Time:2023-10-10T19:05:00Z,Value:7.525639691142054);(Time:2023-10-17T15:56:57.742Z,Value:7.517867535033984);(Time:2023-10-20T04:25:00Z,Value:7.525639691142054),TrimAction:Delete",Normal
10LB005,AdjustableTrim,HG,2023-10-06T03:50:00,2023-10-10T01:15:00,2023-10-10T17:34:17,-7,"deleting positive spikes, I do not think they are representative of actual water levels","UpperThresholdPoints:(Time:2023-10-06T03:50:00Z,Value:7.522492235954077);(Time:2023-10-06T21:48:03.562Z,Value:7.5204536829329065);(Time:2023-10-08T00:49:46.401Z,Value:7.522121589950228);(Time:2023-10-10T01:15:00Z,Value:7.517303191900187),TrimAction:Delete",Normal
10LB005,CopyPaste,HG,2023-09-12T22:50:00,2023-12-06T20:05:00,2023-12-08T20:59:03,-7,"Filling telemetry gaps with logger dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,DeleteRegion,HG,2023-09-12T22:45:00,2023-09-12T22:50:00,2023-09-13T21:11:25,-7,RFT - Maintenance,,Normal
10LB005,Drift,HG,2023-07-24T19:05:00,2023-09-12T22:40:00,2023-09-13T21:10:40,-7,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-07-24T19:05:00Z);(Offset:-0.008,Time:2023-09-12T22:40:00Z)",Normal
10LB005,Drift,HG,2023-06-23T17:15:00,2023-07-24T18:50:00,2023-07-25T23:12:29,-7,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-06-23T17:15:00Z);(Offset:0.018,Time:2023-07-24T18:50:00Z)",Normal
10LB005,CopyPaste,HG,2023-06-23T17:15:00,2023-07-24T18:45:00,2023-07-25T23:11:45,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,Offset,HG,2023-05-17T14:10:00,2023-06-23T16:55:00,2023-06-27T18:03:16,-7,SRC brought back to beginning of valid data,Offset:0.729,Normal
10LB005,CopyPaste,QR,2023-01-30T20:00:00,2023-04-30T07:00:00,2023-02-13T16:51:21,-7,Slow recession using previous measurement to measurement k constant.Override: Log Linear‌Q(t) = 1.26e^(-0.016545343247061098t)‌,,Normal
10LB005,DeleteRegion,QR,2023-01-30T19:55:00,2023-01-30T19:55:00,2023-02-13T16:53:28,-7,,,Normal
10LB005,CopyPaste,QR,2022-11-16T19:10:00,2023-01-30T19:50:00,2023-02-13T16:46:04,-7,"Recession, measurement to measurementOverride: Log Linear‌Q(t) = 4.36e^(-0.016545343247061098t)‌",,Normal
10LB005,CopyPaste,HG,2022-11-16T18:20:00,2023-01-30T20:00:00,2023-02-02T21:49:02,-7,"Filling telemetry gaps with logger dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,CopyPaste,QR,2022-10-14T15:10:00,2022-11-16T19:15:00,2023-02-13T16:44:47,-7,Recession from start of ice to first measurementOverride: Log Linear‌Q(t) = 6.906296036374003e^(-0.01386673142298024t)‌,,Normal
10LB005,CopyPaste,HG,2022-10-03T13:45:00,2022-11-16T18:20:00,2022-11-17T20:51:19,-7,"OC- NO TELEM DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,Offset,HG,2022-06-10T06:05:00,2022-10-03T16:55:00,2022-10-04T21:39:38,-7,SRC est based on suspected orifice movement and October 3 SRC,Offset:-0.02,Normal
10LB005,Deviation,HG,2022-06-09T06:05:00,2022-10-03T16:55:00,2022-10-04T21:41:05,-7,Trimming poor data,"DeviationValue:0.005,DeviationType:DeviationFromAverage,WindowSizeInMinutes:30",Normal
10LB005,Drift,HG,2022-06-02T19:00:00,2022-10-03T16:55:00,2022-10-04T21:42:29,-7,SRC,"DriftPoints:(Offset:-0.005,Time:2022-06-02T19:00:00Z);(Offset:-0.007,Time:2022-10-03T16:55:00Z)",Normal
10LB005,Offset,HG,2022-05-29T12:20:00,2022-06-02T18:40:00,2022-10-04T21:36:04,-7,SRC projected back to suspected orifice movement,Offset:0.023,Normal
10LB005,CopyPaste,HG,2022-05-04T07:34:24,2022-10-04T07:00:00,2022-10-04T21:03:14,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,CopyPaste,HG,2021-12-06T18:55:00,2022-05-04T07:35:00,2022-10-04T21:08:13,-7,"no TX data, so filling with logger dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,CopyPaste,HG,2021-09-07T17:00:00,2021-12-06T19:20:00,2021-12-08T14:32:17,-7,"No telemetry data, copy/pasted period between visitsOverride: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,Normal
10LB005,Drift,HG,2021-07-15T16:50:00,2021-09-07T17:00:00,2021-09-10T17:19:57,-7,SENSOR RESET CORRECTION - Sensor drift. ,"DriftPoints:(Offset:0,Time:2021-07-15T16:50:00Z);(Offset:0.013,Time:2021-09-07T17:00:00Z)",Normal
10LB005,CopyPaste,HG,2021-07-15T16:40:00,2021-09-07T17:00:00,2021-08-24T17:22:21,-7,"Telemetry data missing, loaded logger fileOverride: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,Normal
10LB005,Offset,HG,2021-07-15T16:25:00,2021-07-15T16:45:00,2021-09-10T17:18:31,-7,SENSOR RESET CORRECTION - Direct water level. ,Offset:-0.244,Normal
10LB005,Drift,HG,2021-06-02T23:00:00,2021-07-15T16:20:00,2021-09-10T17:16:37,-7,SENSOR RESET CORRECTION - Sensor drift. ,"DriftPoints:(Offset:0.004,Time:2021-06-02T23:00:00Z);(Offset:-0.02,Time:2021-07-15T16:20:00Z)",Normal
10LB005,CopyPaste,HG,2021-06-02T23:00:00,2021-07-15T16:35:00,2021-09-10T17:14:07,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,Normal
10LB005,Offset,HG,2021-04-27T19:30:00,2021-06-02T22:55:00,2021-06-03T20:28:35,-7,SENSOR RESET CORRECTION - Direct water level. ,Offset:0.008,Normal
10LB005,CopyPaste,HG,2021-04-27T16:40:00,2021-06-02T23:00:00,2021-06-03T20:24:55,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@10LB005, time shift: 00:00 minutes.‌",,PreProcessing
10LB005,DeleteRegion,HG,2020-12-15T04:45:00,2021-04-27T19:25:00,2021-05-27T22:49:20,-7,Frozen Orfice,,Normal
10LB005,Offset,HG,2020-11-23T23:10:00,2020-11-23T23:10:00,2021-06-21T17:10:50,-7,,Offset:-0.35223861676861645,Normal
10LB005,Offset,HG,2020-11-23T23:00:00,2020-11-23T23:10:00,2021-06-21T16:58:51,-7,,Offset:0.35113209296857395,Normal
