Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
10LB005,2023-12-06T20:00:00,-7,Stage/Niveau d'eau,7.753,,,,,,,,,HG: 7.756 No Reset (NR),,,,,,Provisional/Provisoire,
10LB005,2023-12-06T19:35:00,-7,Discharge/Débit,,7.753,0.51,6.0,-0.362,-0.85220003,0.00059999997,"Measurement condition : Ice; Mostly Cloudy , No Precipitation , Calm Wind ","-complete ice cover
-no overflow present","-flowtracker2 measurement through the ice @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",17.0,6.33,0.08,-21.0,0.3,Provisional/Provisoire,6.22
10LB005,2023-09-12T23:05:00,-7,Stage/Niveau d'eau,7.526,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
10LB005,2023-09-12T22:51:30,-7,Discharge/Débit,,7.525,1.13,6.0,-0.0308,0.5611,0.0007,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ","-Open water conditions
-minor leaf debris on control","-Flowtracker2 measurement via wading -Please shift, measurement plots similar to previous summer measurement @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ 7.108m offset after reset Mid-section",14.9,3.41,0.331,16.0,12.0,Provisional/Provisoire,7.58
10LB005,2023-09-12T22:40:00,-7,Stage/Niveau d'eau,7.524,,,,,,,,,GC: 0.000 HG: 7.532 Reset (RS),,,,,,Provisional/Provisoire,
10LB005,2023-07-24T19:05:00,-7,Stage/Niveau d'eau,7.757,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
10LB005,2023-07-24T18:45:00,-7,Stage/Niveau d'eau,7.755,,,,,,,,,GC: 0.000 HG: 7.737 Reset (RS),,,,,,Provisional/Provisoire,
10LB005,2023-07-24T18:42:00,-7,Discharge/Débit,,7.756,4.63,6.0,0.0569,0.32509997,0.002,"Measurement condition : Altered; Clear , No Precipitation , Light Wind Blowing Upstream","-open water condition
-gravel control appears re-distributed ","-wading measurment via price AA meter,  measurement on mid-section tab in eHSN  @ Uncertainty: IVE method, 2-sigma value (IVE Value). @ 7.405m offset after reset Mid-section",21.5,9.83,0.472,22.0,21.0,Provisional/Provisoire,4.98
10LB005,2023-06-23T17:15:00,-7,Stage/Niveau d'eau,8.104,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
10LB005,2023-06-23T16:58:30,-7,Discharge/Débit,,8.103,12.1,6.0,0.0625,0.24450001,0.0001,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind Blowing Upstream","-open water conditions
-control is clear","-flowtracker 2 mesurement via wading -Measurement is 15% off curve 6, but compares very well to last year measurement near the same stage 7.388m offset after reset Mid-section",21.8,16.0,0.755,5.0,13.0,Provisional/Provisoire,
10LB005,2023-06-23T16:45:00,-7,Stage/Niveau d'eau,8.102,,,,,,,,,GC: 0.000 HG: 7.373 Reset (RS),,,,,,Provisional/Provisoire,
10LB005,2023-04-11T22:40:00,-7,Stage/Niveau d'eau,8.447,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
10LB005,2023-04-11T22:18:30,-7,Discharge/Débit,,8.447,0.238,6.0,-1.13,-0.98660004,-0.9884,"Measurement condition : Ice; Cloudy , Light Snow , Calm Wind ",-complete ice cover,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.5,1.1,0.216,-10.0,,Provisional/Provisoire,14.7
10LB005,2023-04-11T21:40:00,-7,Stage/Niveau d'eau,8.447,,,,,,,,,GC: 0.000 HG: 20.085 No Reset (NR),,,,,,Provisional/Provisoire,
10LB005,2023-01-30T20:10:00,-7,Stage/Niveau d'eau,8.323,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
10LB005,2023-01-30T19:55:00,-7,Stage/Niveau d'eau,8.323,,,,,,,,,GC: 0.000 HG: 7.849 No Reset (NR),,,,,,Provisional/Provisoire,
10LB005,2023-01-30T19:49:00,-7,Discharge/Débit,,8.323,1.26,6.0,0.742,-0.91400003,-0.927,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ","-complete ice cover, no open leads observable on river","-Flowtracker2 measurement through the ice @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ 6.659m offset after reset -left water level to settle as no purge conducted due to extreeme cold.  reset in AQ when settled Mid-section",18.0,5.28,0.239,-39.0,0.3,Provisional/Provisoire,15.2
10LB005,2022-11-16T19:35:00,-7,Stage/Niveau d'eau,8.385,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
10LB005,2022-11-16T19:14:30,-7,Discharge/Débit,,8.385,4.36,6.0,-0.589,-0.73,-0.7682,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",-90% ice cover on control. small lead in middle of control,"-flowtracker2 measurement through the ice @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ 7.726m offset after reset Mid-section",19.0,14.8,0.295,-19.0,0.0,Provisional/Provisoire,9.61
