STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10MA003,H,2015,H,8.0,5,16,18.0,40.0,PST,5.040999889373779, ,Maximum
10MA003,H,2018,H,8.0,5,13,11.0,40.0,PST,5.447999954223633, ,Maximum
10MA003,H,2019,H,8.0,5,29,3.0,25.0,PST,4.566999912261963, ,Maximum
10MA003,H,2021,H,8.0,5,2,10.0,0.0,PST,5.51800012588501, ,Maximum
10MA003,Q,1984,H,,6,9,10.0,41.0,YST,71.5999984741211,,Maximum
10MA003,Q,1985,H,,6,6,9.0,37.0,YST,148.0,,Maximum
10MA003,Q,1986,H,,6,8,9.0,41.0,YST,110.0,,Maximum
10MA003,Q,1987,H,,5,31,21.0,40.0,YST,119.0,,Maximum
10MA003,Q,1988,H,,5,30,18.0,39.0,YST,76.5999984741211,,Maximum
10MA003,Q,1990,H,,5,23,1.0,20.0,YST,104.0,,Maximum
10MA003,Q,1991,H,,7,13,18.0,28.0,YST,37.20000076293945,,Maximum
10MA003,Q,1992,H,,6,2,,,,115.0,,Maximum
10MA003,Q,1993,H,,5,28,14.0,21.0,YST,774.0,,Maximum
10MA003,Q,1994,H,,7,7,19.0,52.0,YST,98.4000015258789,,Maximum
10MA003,Q,1995,H,,5,15,16.0,51.0,YST,54.29999923706055,,Maximum
10MA003,Q,2006,H,,5,27,10.0,56.0,PST,156.0,E,Maximum
10MA003,Q,2007,H,,5,28,6.0,16.0,PST,113.0, ,Maximum
10MA003,Q,2008,H,,7,8,6.0,56.0,PST,96.1999969482422, ,Maximum
10MA003,Q,2010,H,,7,24,20.0,6.0,PST,102.0, ,Maximum
10MA003,Q,2012,H,,5,26,7.0,46.0,PST,82.19999694824219, ,Maximum
10MA003,Q,2015,H,,5,16,18.0,40.0,PST,152.0, ,Maximum
10MA003,Q,2019,H,,5,29,3.0,25.0,PST,70.5999984741211, ,Maximum
10MA003,Q,2021,H,,6,2,8.0,30.0,PST,90.5, ,Maximum
10MA003,Q,2023,H,,5,23,10.0,30.0,PST,176.0, ,Maximum
